0 0	0	0	0	0	0	0
0 40	0	0	0	0	0	0
0 80	0	0	0	0	900.561	0
0 120	494.418	42.3272	295.563	100.409	0	179.435
0 160	94.7817	91.2427	91.0779	77.8994	108.655	94.9468
0 200	24.5307	0	24.5307	81.3108	27.1036	0
0 240	0	0	0	0	0	0
0 280	0	0	0	0	0	0
0 320	0	0	0	0	0	0
0 360	0	0	0	0	0	0
0 400	0	0	0	0	0	0
0 440	0	0	0	0	0	0
0 480	0	0	0	0	0	0
0 520	0	0	0	0	0	0
0 560	0	0	0	0	0	0
0 600	0	0	0	0	0	0
0 640	0	0	0	0	0	0
0 680	0	0	0	0	0	0
0 720	0	0	0	0	0	0
0 760	0	0	0	0	0	0
40 0	0	0	0	0	0	0
40 40	0	0	0	0	0	0
40 80	0	0	0	323.285	323.285	0
40 120	579.618	142.586	255.939	233.259	221.761	135.309
40 160	215.12	154.22	165.788	123.582	73.9776	182.851
40 200	123.789	94.1382	134.746	143.484	121.007	84.3111
40 240	110.979	88.6477	77.1197	81.262	68.0418	93.4652
40 280	64.3665	55.6896	81.1197	47.9401	56.4464	53.809
40 320	23.0132	20.1423	43.3644	12.7348	22.7214	30.5644
40 360	0	0	0	0	0	0
40 400	0	0	0	0	0	0
40 440	0	0	0	0	0	0
40 480	0	0	0	0	0	0
40 520	0	0	0	0	0	0
40 560	0	0	0	0	0	0
40 600	0	0	0	0	0	0
40 640	0	0	0	0	0	0
40 680	0	0	0	0	0	0
40 720	0	0	0	0	0	0
40 760	0	0	0	0	0	0
80 0	0	0	0	0	0	0
80 40	0	0	0	0	0	0
80 80	0	0	0	0	0	0
80 120	588.572	266.145	229.899	397.618	82.7524	142.753
80 160	291.432	214.902	173.035	214.284	120.395	122.05
80 200	184.252	101.691	110.728	123.483	97.0585	76.8648
80 240	82.4698	72.4408	54.5841	74.46	39.4745	65.568
80 280	24.9499	30.1915	30.9133	30.5899	25.3626	24.0035
80 320	19.3167	25.8159	32.1243	17.04	21.2055	29.4053
80 360	11.0666	13.2738	34.1436	11.4057	10.4753	24.0887
80 400	6.03485	8.34806	23.7183	5.48238	7.14669	19.746
80 440	1.42443	4.16415	14.964	2.56385	4.25876	12.922
80 480	1.41627	2.30806	10.2981	0.821628	1.61729	8.98503
80 520	0.508664	0.638582	3.21648	0.429577	0.611786	2.9898
80 560	0	0	0	0	0	0
80 600	0	0	0	0	0	0
80 640	0	0	0	0	0	0
80 680	0	0	0	0	0	0
80 720	0	0	0	0	0	0
80 760	0	0	0	0	0	0
120 0	0	0	0	0	0	0
120 40	0	0	0	0	0	0
120 80	0	0	0	0	0	0
120 120	162.693	150.658	101.116	183.953	371.098	0
120 160	307.634	72.3804	169.932	163.913	141.41	74.3402
120 200	164.476	127.521	59.6849	131.388	78.0403	73.5802
120 240	124.966	95.3165	76.1938	94.2369	100.874	88.9021
120 280	70.1793	66.2777	77.7321	68.2472	59.7086	80.25
120 320	45.703	42.0621	55.6809	35.5895	34.2807	48.6001
120 360	17.48	20.2574	35.6867	19.3095	17.2362	39.7435
120 400	9.70174	13.0762	31.0268	8.23198	9.44292	25.3759
120 440	5.1803	5.08304	24.6532	4.13264	8.42895	21.0986
120 480	2.77041	4.49277	17.7682	2.457	3.69736	15.5864
120 520	1.20957	1.94028	8.43338	1.07946	1.37787	7.48065
120 560	0.853741	1.0716	6.05274	0.730051	1.09627	4.96851
120 600	0.42146	0.58259	3.50342	0.397955	0.453662	3.72782
120 640	0.0475795	0.0914638	0.606102	0.0249478	0.0760743	0.495453
120 680	0.0231997	0.0812412	0.648756	0.0330095	0.071788	0.504693
120 720	0	0	0	0	0	0
120 760	0	0	0	0	0	0
160 0	0	0	0	0	0	0
160 40	0	0	0	0	0	0
160 80	255.813	0	0	0	0	0
160 120	345.227	338.95	24.5666	295.868	120.196	143.883
160 160	289.505	150.69	80.0724	170.668	73.6995	104.735
160 200	106.882	152.154	70.9131	148.356	63.04	87.3949
160 240	106.051	72.5228	55.4348	90.8857	84.9911	41.6008
160 280	21.2384	4.61968	34.5534	16.1631	18.7938	17.2685
160 320	24.2008	22.3346	27.4322	13.8153	18.3594	26.8736
160 360	10.6004	12.1066	22.2153	8.35632	8.70746	17.8918
160 400	2.61207	2.88283	6.12469	2.75187	2.70132	4.56905
160 440	1.90735	2.78704	9.46556	1.62648	2.78883	8.39538
160 480	1.22202	1.28115	6.71738	0.694449	1.46163	4.98981
160 520	0.666155	0.902519	4.13646	0.410673	0.690018	3.24784
160 560	0.352965	0.51293	2.76624	0.289967	0.281243	2.5418
160 600	0.272232	0.374877	2.58575	0.296503	0.319426	2.31891
160 640	0.223699	0.269522	2.07931	0.116502	0.229833	1.83326
160 680	0.0635197	0.131427	1.35451	0.0561852	0.135713	1.10267
160 720	0.0189736	0.049832	0.719092	0.029239	0.0452128	0.582845
160 760	0.023226	0.0195056	0.221887	0.0153316	0.0192451	0.193397
200 0	0	0	0	0	0	0
200 40	0	0	0	0	0	0
200 80	0	0	0	0	0	0
200 120	222.831	59.5727	44.8459	131.187	20.7475	20.7475
200 160	174.472	45.5487	11.5238	96.5761	44.0916	12.4763
200 200	79.7516	48.2302	36.4708	59.5733	34.5243	29.2554
