| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 60 m12 = 180 | 0.433329, 0.463076, 0.403581 | 0.992706, 1.18082, 0.804591 | 4.10795, 4.39357, 3.82233 | 0.53184, 0.556099, 0.507581 | 4.91964, 5.66332, 4.17596 | 6.63969, 7.29245, 5.98694 | 1.34264, 1.60062, 1.08466 | 0.445, 0.541766, 0.348234 | 3.69, 4.33036, 3.04964 | 15.6903, 17.235, 14.1455 | 
| tanbeta = 10, m0 = 60 m12 = 200 | 0.263713, 0.282439, 0.244987 | 0.610373, 0.728503, 0.492244 | 2.38087, 2.5391, 2.22264 | 0.377015, 0.394694, 0.359336 | 2.77688, 3.19426, 2.35949 | 4.21, 4.61691, 3.80309 | 0.737646, 0.882866, 0.592426 | 0.2432, 0.299409, 0.186991 | 1.9, 2.25748, 1.54252 | 8.77878, 9.65014, 7.90743 | 
| tanbeta = 10, m0 = 60 m12 = 220 | 0.165476, 0.17771, 0.153241 | 0.387265, 0.463875, 0.310655 | 1.47221, 1.56544, 1.37898 | 0.274403, 0.287681, 0.261125 | 1.62832, 1.87013, 1.38652 | 2.75, 3.01799, 2.48201 | 0.4208, 0.506731, 0.334869 | 0.1382, 0.172073, 0.104327 | 1.02, 1.22729, 0.812713 | 5.1, 5.59683, 4.60317 | 
| tanbeta = 10, m0 = 60 m12 = 240 | 0.106479, 0.11466, 0.0982979 | 0.25238, 0.303327, 0.201433 | 0.955217, 1.01386, 0.896578 | 0.203895, 0.214135, 0.193655 | 0.973432, 1.12029, 0.826572 | 1.83114, 2.01153, 1.65074 | 0.2486, 0.301971, 0.195229 | 0.081, 0.102016, 0.0599836 | 0.567, 0.690877, 0.443123 | 3.07, 3.38443, 2.75557 | 
| tanbeta = 10, m0 = 60 m12 = 260 | 0.0698966, 0.0752586, 0.0645346 | 0.168161, 0.202991, 0.133331 | 0.64347, 0.681643, 0.605297 | 0.154257, 0.162175, 0.146338 | 0.600897, 0.692206, 0.509588 | 1.25311, 1.37874, 1.12748 | 0.1506, 0.184519, 0.116681 | 0.0489, 0.0622205, 0.0355795 | 0.324, 0.399762, 0.248238 | 1.89, 2.09542, 1.68458 | 
| tanbeta = 10, m0 = 60 m12 = 280 | 0.0467465, 0.0503264, 0.0431667 | 0.114343, 0.138604, 0.090082 | 0.447063, 0.472786, 0.42134 | 0.118584, 0.12477, 0.112399 | 0.375984, 0.432885, 0.319082 | 0.865496, 0.954196, 0.776797 | 0.09385, 0.116038, 0.071662 | 0.0302, 0.0388738, 0.0215262 | 0.19, 0.237434, 0.142566 | 1.19, 1.32616, 1.05384 | 
| tanbeta = 10, m0 = 60 m12 = 300 | 0.0317601, 0.0342704, 0.0292497 | 0.0790891, 0.0962075, 0.0619707 | 0.317886, 0.335952, 0.29982 | 0.0922751, 0.0972915, 0.0872587 | 0.239719, 0.276136, 0.203302 | 0.606525, 0.670006, 0.543043 | 0.05957, 0.074308, 0.044832 | 0.01892, 0.0246812, 0.0131588 | 0.114, 0.14433, 0.08367 | 0.763, 0.855407, 0.670593 | 
| tanbeta = 10, m0 = 60 m12 = 320 | 0.0218263, 0.0235477, 0.0201048 | 0.0555198, 0.0678672, 0.0431724 | 0.23077, 0.243598, 0.217942 | 0.0724899, 0.0764886, 0.0684913 | 0.156, 0.179972, 0.132028 | 0.430326, 0.476478, 0.384175 | 0.03856, 0.0485507, 0.0285693 | 0.01213, 0.0159954, 0.00826457 | 0.0695, 0.0891118, 0.0498882 | 0.497, 0.560604, 0.433396 | 
| tanbeta = 10, m0 = 60 m12 = 340 | 0.015177, 0.016387, 0.0139671 | 0.0394775, 0.0484759, 0.0304792 | 0.17053, 0.179895, 0.161165 | 0.0576215, 0.0608841, 0.054359 | 0.103, 0.119285, 0.086715 | 0.307994, 0.3418, 0.274189 | 0.02545, 0.0323614, 0.0185386 | 0.00789, 0.0105296, 0.0052504 | 0.0429139, 0.0558574, 0.0299705 | 0.328, 0.37227, 0.28373 | 
| tanbeta = 10, m0 = 60 m12 = 360 | 0.0106578, 0.011499, 0.00981664 | 0.0283983, 0.034997, 0.0217995 | 0.127829, 0.134722, 0.120936 | 0.0462206, 0.0488711, 0.0435702 | 0.0687, 0.0799696, 0.0574304 | 0.223137, 0.24851, 0.197764 | 0.01695, 0.0217606, 0.0121394 | 0.00519, 0.00701444, 0.00336556 | 0.0269633, 0.0356825, 0.0182442 | 0.218884, 0.25031, 0.187459 | 
