| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 580 m12 = 820 | 9.78052e-06, 1.10529e-05, 8.50815e-06 | 4.56005e-05, 6.16104e-05, 2.95905e-05 | 0.00108012, 0.00113587, 0.00102437 | 3.64234e-05, 3.82595e-05, 3.45873e-05 | 8.9699e-06, 1.45069e-05, 3.43292e-06 | 0.000125729, 0.000152212, 9.92466e-05 | 6.819e-06, 1.19015e-05, 1.73651e-06 | 8.98e-07, 1.79236e-06, 3.63519e-09 | 2.67e-06, 4.96664e-06, 3.73363e-07 | 4.56359e-05, 7.03614e-05, 2.09104e-05 | 
| tanbeta = 10, m0 = 580 m12 = 840 | 7.50621e-06, 8.54681e-06, 6.46561e-06 | 3.68987e-05, 5.00477e-05, 2.37496e-05 | 0.000908354, 0.00095507, 0.000861638 | 3.35974e-05, 3.525e-05, 3.19448e-05 | 6.5138e-06, 1.06793e-05, 2.34832e-06 | 9.47156e-05, 0.000115119, 7.43123e-05 | 5.224e-06, 9.24739e-06, 1.20061e-06 | 6.62e-07, 1.3449e-06, -2.08964e-08 | 1.83e-06, 3.45803e-06, 2.01966e-07 | 3.28711e-05, 5.12016e-05, 1.45406e-05 | 
| tanbeta = 10, m0 = 580 m12 = 860 | 5.77242e-06, 6.62466e-06, 4.92019e-06 | 2.98136e-05, 4.05826e-05, 1.90446e-05 | 0.000765645, 0.00080545, 0.00072584 | 3.0989e-05, 3.24736e-05, 2.95044e-05 | 4.72886e-06, 7.85494e-06, 1.60278e-06 | 7.11128e-05, 8.68116e-05, 5.5414e-05 | 4.002e-06, 7.17944e-06, 8.24558e-07 | 4.88e-07, 1.00843e-06, -3.24303e-08 | 1.24e-06, 2.38134e-06, 9.86589e-08 | 2.34801e-05, 3.69989e-05, 9.96138e-06 | 
| tanbeta = 10, m0 = 580 m12 = 880 | 4.44475e-06, 5.13848e-06, 3.75102e-06 | 2.41843e-05, 3.3099e-05, 1.52696e-05 | 0.000644488, 0.000677768, 0.000611208 | 2.85704e-05, 2.99179e-05, 2.7223e-05 | 3.42937e-06, 5.76989e-06, 1.08885e-06 | 5.31636e-05, 6.51908e-05, 4.11364e-05 | 3.064e-06, 5.57317e-06, 5.54832e-07 | 3.59e-07, 7.55225e-07, -3.72254e-08 | 8.36e-07, 1.63e-06, 4.20007e-08 | 1.66728e-05, 2.65525e-05, 6.79305e-06 | 
| tanbeta = 10, m0 = 580 m12 = 900 | 3.41123e-06, 3.97776e-06, 2.84469e-06 | 1.95929e-05, 2.69038e-05, 1.22821e-05 | 0.000545151, 0.000573692, 0.00051661 | 2.63627e-05, 2.75695e-05, 2.51559e-05 | 2.48042e-06, 4.22083e-06, 7.40013e-07 | 3.96355e-05, 4.88512e-05, 3.04197e-05 | 2.343e-06, 4.3271e-06, 3.58899e-07 | 2.634e-07, 5.64626e-07, -3.78263e-08 | 5.67e-07, 1.12185e-06, 1.21494e-08 | 1.19459e-05, 1.92477e-05, 4.64403e-06 | 
| tanbeta = 10, m0 = 580 m12 = 920 | 2.62894e-06, 3.08632e-06, 2.17156e-06 | 1.58897e-05, 2.18884e-05, 9.8909e-06 | 0.000461546, 0.000485807, 0.000437285 | 2.43144e-05, 2.54171e-05, 2.32116e-05 | 1.76e-06, 3.27174e-06, 2.48262e-07 | 2.72751e-05, 3.59336e-05, 1.86165e-05 | 1.795e-06, 3.36613e-06, 2.23874e-07 | 1.929e-07, 4.21546e-07, -3.57459e-08 | 2.59e-07, 6.83051e-07, -1.65051e-07 | 7.53e-06, 1.31342e-05, 1.9258e-06 | 
| tanbeta = 10, m0 = 580 m12 = 940 | 2.0175e-06, 2.39201e-06, 1.643e-06 | 1.28915e-05, 1.78288e-05, 7.95419e-06 | 0.000389877, 0.000410302, 0.000369452 | 2.24381e-05, 2.344e-05, 2.14362e-05 | 1.26e-06, 2.37885e-06, 1.41149e-07 | 2.01972e-05, 2.67725e-05, 1.36219e-05 | 1.3774e-06, 2.61494e-06, 1.3986e-07 | 1.415e-07, 3.1419e-07, -3.11901e-08 | 1.71e-07, 4.59693e-07, -1.17693e-07 | 5.29e-06, 9.31866e-06, 1.26134e-06 | 
| tanbeta = 10, m0 = 580 m12 = 960 | 1.55467e-06, 1.85473e-06, 1.25461e-06 | 1.04623e-05, 1.45122e-05, 6.41229e-06 | 0.000330735, 0.000347958, 0.000313512 | 2.0698e-05, 2.15965e-05, 1.97994e-05 | 9.05e-07, 1.7279e-06, 8.20962e-08 | 1.49076e-05, 1.98575e-05, 9.95773e-06 | 1.0567e-06, 2.03856e-06, 7.48421e-08 | 1.033e-07, 2.33299e-07, -2.66987e-08 | 1.12e-07, 3.06671e-07, -8.26708e-08 | 3.69e-06, 6.58169e-06, 7.98315e-07 | 
| tanbeta = 10, m0 = 580 m12 = 980 | 1.18817e-06, 1.42835e-06, 9.47982e-07 | 8.48811e-06, 1.18265e-05, 5.14976e-06 | 0.000280378, 0.000294876, 0.00026588 | 1.91011e-05, 1.99064e-05, 1.82958e-05 | 6.46e-07, 1.25157e-06, 4.04324e-08 | 1.09483e-05, 1.46815e-05, 7.21511e-06 | 8.105e-07, 1.58565e-06, 3.5354e-08 | 7.53e-08, 1.73428e-07, -2.28279e-08 | 7.25e-08, 2.02951e-07, -5.79514e-08 | 2.57e-06, 4.63354e-06, 5.06455e-07 | 
| tanbeta = 10, m0 = 580 m12 = 1000 | 9.37171e-07, 1.13763e-06, 7.36716e-07 | 6.90683e-06, 9.65848e-06, 4.15518e-06 | 0.00023839, 0.000250659, 0.000226121 | 1.76258e-05, 1.83618e-05, 1.68898e-05 | 4.59e-07, 9.00151e-07, 1.7849e-08 | 8.02463e-06, 1.08554e-05, 5.19384e-06 | 6.213e-07, 1.23455e-06, 8.05272e-09 | 5.48e-08, 1.28278e-07, -1.86782e-08 | 4.72e-08, 1.34811e-07, -4.04109e-08 | 1.78e-06, 3.24901e-06, 3.10986e-07 | 
| tanbeta = 10, m0 = 600 m12 = 100 | 0.801952, 0.875554, 0.72835 | 0.152726, 0.184379, 0.121074 | 112.015, 122.973, 101.057 | 0.000246306, 0.000262387, 0.000230225 | 0.321462, 0.370412, 0.272511 | 1.03434, 1.1786, 0.890074 | 0.2651, 0.320731, 0.209469 | 0.04039, 0.0505169, 0.0302631 | 75.9086, 88.6736, 63.1435 | 18.1721, 20.7993, 15.5448 | 
| tanbeta = 10, m0 = 600 m12 = 120 | 0.512849, 0.558503, 0.467194 | 0.128089, 0.154972, 0.101207 | 34.6108, 37.547, 31.6747 | 0.000241901, 0.000257666, 0.000226136 | 0.267512, 0.307949, 0.227076 | 0.873249, 0.994804, 0.751694 | 0.201, 0.244453, 0.157547 | 0.0322, 0.040589, 0.023811 | 28.4001, 33.143, 23.6573 | 10.9857, 12.4938, 9.47767 | 
| tanbeta = 10, m0 = 600 m12 = 140 | 0.333982, 0.363212, 0.304752 | 0.105515, 0.127959, 0.0830705 | 15.2445, 16.4118, 14.0772 | 0.000236816, 0.000252125, 0.000221506 | 0.216574, 0.248973, 0.184174 | 0.723683, 0.822927, 0.624438 | 0.1521, 0.185949, 0.118251 | 0.02503, 0.0318092, 0.0182508 | 11.9, 13.8901, 9.90987 | 6.80798, 7.71937, 5.8966 | 
| tanbeta = 10, m0 = 600 m12 = 160 | 0.221206, 0.24042, 0.201993 | 0.085593, 0.103985, 0.0672013 | 7.78696, 8.34281, 7.23111 | 0.000231053, 0.000246171, 0.000215936 | 0.172, 0.197564, 0.146436 | 0.589893, 0.670168, 0.509617 | 0.1132, 0.139192, 0.0872077 | 0.01911, 0.0244918, 0.0137282 | 5.48, 6.46535, 4.49465 | 4.3, 4.86156, 3.73844 | 
| tanbeta = 10, m0 = 600 m12 = 180 | 0.148645, 0.161409, 0.135881 | 0.0687198, 0.0837409, 0.0536988 | 4.38166, 4.67091, 4.09241 | 0.000224843, 0.000239572, 0.000210114 | 0.135, 0.155315, 0.114685 | 0.474939, 0.538579, 0.411299 | 0.08328, 0.103075, 0.0634854 | 0.01447, 0.0187092, 0.0102308 | 2.69, 3.20767, 2.17233 | 2.77, 3.13489, 2.40511 | 
| tanbeta = 10, m0 = 600 m12 = 200 | 0.101263, 0.10997, 0.0925554 | 0.054597, 0.0667214, 0.0424725 | 2.62627, 2.79108, 2.46146 | 0.000218034, 0.000232016, 0.000204052 | 0.103, 0.118816, 0.0871838 | 0.377987, 0.427776, 0.328199 | 0.06088, 0.0758488, 0.0459112 | 0.01077, 0.0140751, 0.0074649 | 1.39, 1.67746, 1.10254 | 1.81, 2.05174, 1.56826 | 
| tanbeta = 10, m0 = 600 m12 = 220 | 0.069884, 0.0758629, 0.0639052 | 0.0431896, 0.0529175, 0.0334617 | 1.6587, 1.7605, 1.5569 | 0.000210776, 0.000224219, 0.000197332 | 0.0786, 0.0909447, 0.0662553 | 0.298689, 0.33854, 0.258838 | 0.04443, 0.0557398, 0.0331202 | 0.00799, 0.0105416, 0.00543836 | 0.75, 0.915775, 0.584225 | 1.2, 1.3635, 1.0365 | 
| tanbeta = 10, m0 = 600 m12 = 240 | 0.0485482, 0.0528164, 0.0442799 | 0.0339703, 0.041776, 0.0261646 | 1.08699, 1.1515, 1.02248 | 0.000203252, 0.000216085, 0.000190418 | 0.0595, 0.0691095, 0.0498905 | 0.234774, 0.266507, 0.203042 | 0.03232, 0.0408506, 0.0237894 | 0.00589, 0.00784803, 0.00393197 | 0.419, 0.517748, 0.320252 | 0.802, 0.913677, 0.690323 | 
| tanbeta = 10, m0 = 600 m12 = 260 | 0.0341701, 0.0371681, 0.0311721 | 0.0266413, 0.0328583, 0.0204242 | 0.735007, 0.777542, 0.692472 | 0.00019534, 0.000207909, 0.000182771 | 0.0447, 0.0520938, 0.0373062 | 0.183727, 0.208161, 0.159292 | 0.02334, 0.0297383, 0.0169417 | 0.00434, 0.0058429, 0.0028371 | 0.241, 0.301496, 0.180504 | 0.543, 0.620814, 0.465186 | 
| tanbeta = 10, m0 = 600 m12 = 280 | 0.0242238, 0.0263945, 0.0220531 | 0.0208657, 0.0258192, 0.0159122 | 0.510531, 0.539218, 0.481844 | 0.000187359, 0.000199156, 0.000175563 | 0.0335, 0.0392009, 0.0277991 | 0.143677, 0.162243, 0.12511 | 0.01691, 0.0217197, 0.0121003 | 0.003186, 0.00434019, 0.00203181 | 0.142, 0.17985, 0.10415 | 0.36959, 0.424774, 0.314406 | 
| tanbeta = 10, m0 = 600 m12 = 300 | 0.0173059, 0.0188582, 0.0157535 | 0.0163274, 0.0202776, 0.0123771 | 0.363197, 0.383493, 0.342901 | 0.000179039, 0.000190279, 0.0001678 | 0.0249749, 0.0294026, 0.0205473 | 0.111715, 0.12639, 0.0970388 | 0.01234, 0.0159776, 0.00870237 | 0.002341, 0.00322555, 0.00145645 | 0.0856, 0.109797, 0.0614028 | 0.253231, 0.292877, 0.213585 | 
| tanbeta = 10, m0 = 600 m12 = 320 | 0.0124246, 0.0135247, 0.0113245 | 0.0127883, 0.0159318, 0.00964471 | 0.262139, 0.276374, 0.247904 | 0.000170911, 0.000181426, 0.000160397 | 0.018538, 0.0219639, 0.0151121 | 0.0870091, 0.0985754, 0.0754429 | 0.009009, 0.0117626, 0.0062554 | 0.001719, 0.00239266, 0.00104534 | 0.0525595, 0.0683423, 0.0367766 | 0.175287, 0.203982, 0.146593 | 
| tanbeta = 10, m0 = 600 m12 = 340 | 0.00898654, 0.00978293, 0.00819014 | 0.0100133, 0.0125148, 0.00751181 | 0.192817, 0.203166, 0.182468 | 0.000162552, 0.000172793, 0.000152311 | 0.0137493, 0.0164066, 0.0110921 | 0.0676003, 0.076701, 0.0584995 | 0.006596, 0.00869016, 0.00450184 | 0.001271, 0.00179098, 0.000751017 | 0.0325421, 0.0430204, 0.0220638 | 0.121716, 0.143278, 0.100155 | 
| tanbeta = 10, m0 = 600 m12 = 360 | 0.0065487, 0.00712621, 0.00597119 | 0.00785219, 0.00985969, 0.00584468 | 0.143794, 0.151427, 0.136161 | 0.000154342, 0.000163902, 0.000144781 | 0.0101913, 0.0123149, 0.00806767 | 0.052533, 0.0597181, 0.045348 | 0.004829, 0.00641921, 0.00323879 | 0.000931, 0.00132807, 0.000533932 | 0.0205438, 0.027581, 0.0135067 | 0.0853096, 0.101076, 0.069543 | 
| tanbeta = 10, m0 = 600 m12 = 380 | 0.0047714, 0.00518212, 0.00436068 | 0.0061546, 0.00775552, 0.00455368 | 0.108573, 0.11428, 0.102866 | 0.000146191, 0.000155139, 0.000137242 | 0.00750015, 0.00913962, 0.00586067 | 0.0407111, 0.0463157, 0.0351064 | 0.003549, 0.00476218, 0.00233582 | 0.000681, 0.000983275, 0.000378725 | 0.0131065, 0.0179495, 0.00826354 | 0.0599388, 0.0717614, 0.0481162 | 
| tanbeta = 10, m0 = 600 m12 = 400 | 0.00350435, 0.00380019, 0.00320851 | 0.00483917, 0.00612038, 0.00355795 | 0.082883, 0.0871956, 0.0785704 | 0.000138141, 0.00014666, 0.000129622 | 0.00558551, 0.0068815, 0.00428952 | 0.031638, 0.0360405, 0.0272355 | 0.002614, 0.00354264, 0.00168536 | 0.000499, 0.000729385, 0.000268615 | 0.00841356, 0.0117071, 0.00512001 | 0.0423728, 0.0512089, 0.0335367 | 
| tanbeta = 10, m0 = 600 m12 = 420 | 0.00258238, 0.00280234, 0.00236243 | 0.00381437, 0.00483958, 0.00278916 | 0.063936, 0.0672505, 0.0606215 | 0.000130393, 0.000138329, 0.000122457 | 0.00410645, 0.00510874, 0.00310416 | 0.024468, 0.027891, 0.0210451 | 0.001935, 0.00264849, 0.00122151 | 0.000367, 0.000542427, 0.000191573 | 0.00552173, 0.00781473, 0.00322873 | 0.0301234, 0.0367333, 0.0235136 | 
| tanbeta = 10, m0 = 600 m12 = 440 | 0.00190506, 0.00206297, 0.00174715 | 0.0030084, 0.00383515, 0.00218166 | 0.0497627, 0.0523403, 0.0471851 | 0.00012284, 0.000130253, 0.000115427 | 0.00303281, 0.00381924, 0.00224639 | 0.01895, 0.0216273, 0.0162727 | 0.001335, 0.00186774, 0.000802264 | 0.0002696, 0.000403704, 0.000135496 | 0.00360192, 0.00518394, 0.00201989 | 0.0213801, 0.0263088, 0.0164515 | 
| tanbeta = 10, m0 = 600 m12 = 460 | 0.00141154, 0.00152536, 0.00129771 | 0.00237553, 0.00303803, 0.00171304 | 0.0389701, 0.0409674, 0.0369728 | 0.000115401, 0.00012232, 0.000108482 | 0.00223396, 0.00284703, 0.00162089 | 0.0145937, 0.0167122, 0.0124752 | 0.0009915, 0.0014005, 0.000582498 | 0.0001978, 0.000300375, 9.52252e-05 | 0.00239273, 0.00350348, 0.00128197 | 0.0152635, 0.0189927, 0.0115344 | 
| tanbeta = 10, m0 = 600 m12 = 480 | 0.00104831, 0.00112987, 0.000966757 | 0.00188038, 0.00241292, 0.00134783 | 0.0308567, 0.0324407, 0.0292727 | 0.00010832, 0.000114804, 0.000101836 | 0.00164843, 0.00212003, 0.00117683 | 0.0113384, 0.0130264, 0.00965036 | 0.0007375, 0.00105054, 0.000424455 | 0.0001463, 0.000224923, 6.7677e-05 | 0.0015918, 0.00236845, 0.000815148 | 0.0109445, 0.0137686, 0.00812052 | 
| tanbeta = 10, m0 = 600 m12 = 500 | 0.00078107, 0.000839971, 0.000722169 | 0.00149008, 0.00191671, 0.00106345 | 0.0244757, 0.0257137, 0.0232377 | 0.000101513, 0.000107548, 9.54774e-05 | 0.00121459, 0.00158491, 0.00084427 | 0.00876363, 0.0100799, 0.00744737 | 0.0005503, 0.000792413, 0.000308187 | 0.0001076, 0.000167602, 4.75982e-05 | 0.00106452, 0.00161066, 0.000518373 | 0.00786874, 0.0100273, 0.00571019 | 
| tanbeta = 10, m0 = 600 m12 = 520 | 0.000584051, 0.000626935, 0.000541167 | 0.00118306, 0.00152569, 0.000840427 | 0.0195988, 0.020593, 0.0186046 | 9.49015e-05, 0.000100513, 8.92903e-05 | 0.00088597, 0.00116928, 0.000602662 | 0.00671167, 0.0077373, 0.00568605 | 0.0004122, 0.000599282, 0.000225118 | 7.93e-05, 0.000125142, 3.34575e-05 | 0.000717184, 0.00110322, 0.000331149 | 0.00564138, 0.00727285, 0.00400991 | 
| tanbeta = 10, m0 = 600 m12 = 540 | 0.000436453, 0.000467931, 0.000404975 | 0.000941698, 0.00121867, 0.000664724 | 0.0157574, 0.0165561, 0.0149587 | 8.87195e-05, 9.38468e-05, 8.35922e-05 | 0.000657473, 0.000878511, 0.000436435 | 0.0052174, 0.00603394, 0.00440085 | 0.0003087, 0.000454095, 0.000163305 | 5.86e-05, 9.37947e-05, 2.34053e-05 | 0.000488488, 0.000763483, 0.000213494 | 0.00409616, 0.0053453, 0.00284703 | 
| tanbeta = 10, m0 = 600 m12 = 560 | 0.00032926, 0.000352397, 0.000306122 | 0.000750164, 0.000973382, 0.000526947 | 0.0127379, 0.0133835, 0.0120923 | 8.27336e-05, 8.75222e-05, 7.79451e-05 | 0.000486255, 0.000658264, 0.000314247 | 0.00402873, 0.00466661, 0.00339085 | 0.0002321, 0.000345181, 0.000119019 | 4.32e-05, 7.01706e-05, 1.62294e-05 | 0.000331224, 0.000525638, 0.000136811 | 0.00295581, 0.00390539, 0.00200623 | 
| tanbeta = 10, m0 = 600 m12 = 580 | 0.00024765, 0.000265566, 0.000229733 | 0.000598248, 0.000778589, 0.000417907 | 0.0103355, 0.0108586, 0.00981237 | 7.70893e-05, 8.15948e-05, 7.25838e-05 | 0.000355087, 0.000486993, 0.000223181 | 0.00309102, 0.00358822, 0.00259382 | 0.0001744, 0.000262052, 8.67484e-05 | 3.19e-05, 5.25354e-05, 1.12646e-05 | 0.000227978, 0.000367422, 8.85334e-05 | 0.00213733, 0.00285989, 0.00141476 | 
| tanbeta = 10, m0 = 600 m12 = 600 | 0.000187174, 0.000201291, 0.000173057 | 0.000478419, 0.000624304, 0.000332534 | 0.0084193, 0.00884374, 0.00799486 | 7.17637e-05, 7.58862e-05, 6.76412e-05 | 0.000261712, 0.000364132, 0.000159291 | 0.00238022, 0.00276882, 0.00199161 | 0.0001321, 0.000201056, 6.31442e-05 | 2.361e-05, 3.94518e-05, 7.7682e-06 | 0.000155904, 0.000254913, 5.68945e-05 | 0.00155322, 0.00210553, 0.00100091 | 
| tanbeta = 10, m0 = 600 m12 = 620 | 0.000141865, 0.00015301, 0.000130721 | 0.000383521, 0.000502047, 0.000264995 | 0.00689243, 0.00724122, 0.00654364 | 6.67463e-05, 7.0558e-05, 6.29345e-05 | 0.000193642, 0.000273357, 0.000113928 | 0.00183501, 0.00213908, 0.00153093 | 9.981e-05, 0.000153564, 4.60562e-05 | 1.747e-05, 2.96152e-05, 5.32484e-06 | 0.000107006, 0.000177192, 3.68197e-05 | 0.00112706, 0.00154349, 0.000710632 | 
| tanbeta = 10, m0 = 600 m12 = 640 | 0.000107583, 0.000116454, 9.87115e-05 | 0.000306709, 0.000402617, 0.000210802 | 0.00566189, 0.00594869, 0.00537509 | 6.20209e-05, 6.55267e-05, 5.85152e-05 | 0.000141388, 0.000202383, 8.03937e-05 | 0.001406, 0.00164313, 0.00116887 | 7.57e-05, 0.000117902, 3.34978e-05 | 1.292e-05, 2.22695e-05, 3.57053e-06 | 7.38061e-05, 0.000123816, 2.37964e-05 | 0.000817451, 0.00113348, 0.00050142 | 
| tanbeta = 10, m0 = 600 m12 = 660 | 8.18639e-05, 8.89508e-05, 7.4777e-05 | 0.000246375, 0.000324287, 0.000168464 | 0.00465667, 0.00489189, 0.00442145 | 5.75398e-05, 6.07191e-05, 5.43606e-05 | 0.000103602, 0.000150278, 5.69256e-05 | 0.00107265, 0.00125988, 0.00088543 | 5.747e-05, 9.05508e-05, 2.43892e-05 | 9.56e-06, 1.67267e-05, 2.39332e-06 | 5.10053e-05, 8.66603e-05, 1.53503e-05 | 0.000591887, 0.000830542, 0.000353232 | 
| tanbeta = 10, m0 = 600 m12 = 680 | 6.24781e-05, 6.81126e-05, 5.68436e-05 | 0.000198033, 0.000261634, 0.000134432 | 0.0038479, 0.00404302, 0.00365278 | 5.33551e-05, 5.62918e-05, 5.04183e-05 | 7.65095e-05, 0.00011252, 4.04994e-05 | 0.000826505, 0.000973992, 0.000679018 | 4.37e-05, 6.97444e-05, 1.76556e-05 | 7.07e-06, 1.25696e-05, 1.57039e-06 | 3.53446e-05, 6.07797e-05, 9.90939e-06 | 0.000430197, 0.00061043, 0.000249963 | 
| tanbeta = 10, m0 = 600 m12 = 700 | 4.7641e-05, 5.21326e-05, 4.31494e-05 | 0.000159366, 0.000211146, 0.000107585 | 0.00318645, 0.00334728, 0.00302562 | 4.94447e-05, 5.20956e-05, 4.67938e-05 | 5.58994e-05, 8.34314e-05, 2.83674e-05 | 0.000629471, 0.00074469, 0.000514252 | 3.324e-05, 5.37285e-05, 1.27515e-05 | 5.23e-06, 9.45211e-06, 1.00789e-06 | 2.44565e-05, 4.2571e-05, 6.34195e-06 | 0.000311783, 0.000448049, 0.000175518 | 
| tanbeta = 10, m0 = 600 m12 = 720 | 3.64342e-05, 4.0058e-05, 3.28105e-05 | 0.000128352, 0.000170694, 8.60094e-05 | 0.00265028, 0.00278547, 0.00251509 | 4.5784e-05, 4.81963e-05, 4.33717e-05 | 4.08746e-05, 6.18423e-05, 1.9907e-05 | 0.000479403, 0.000569205, 0.0003896 | 2.534e-05, 4.14745e-05, 9.20546e-06 | 3.88e-06, 7.11797e-06, 6.42033e-07 | 1.69248e-05, 2.97833e-05, 4.06632e-06 | 0.000225759, 0.00032856, 0.000122957 | 
| tanbeta = 10, m0 = 600 m12 = 740 | 2.79126e-05, 3.08047e-05, 2.50204e-05 | 0.000103465, 0.000138004, 6.89271e-05 | 0.0022056, 0.0023173, 0.0020939 | 4.23654e-05, 4.45639e-05, 4.01669e-05 | 2.98625e-05, 4.58386e-05, 1.38863e-05 | 0.000364674, 0.000434379, 0.00029497 | 1.931e-05, 3.20371e-05, 6.58291e-06 | 2.864e-06, 5.34979e-06, 3.78208e-07 | 1.17014e-05, 2.08103e-05, 2.59247e-06 | 0.000163452, 0.000240847, 8.60559e-05 | 
| tanbeta = 10, m0 = 600 m12 = 760 | 2.13633e-05, 2.37146e-05, 1.90121e-05 | 8.35308e-05, 0.00011187, 5.51913e-05 | 0.00184095, 0.00193502, 0.00174688 | 3.91913e-05, 4.11795e-05, 3.7203e-05 | 2.18013e-05, 3.39286e-05, 9.67401e-06 | 0.000276105, 0.000329969, 0.000222242 | 1.472e-05, 2.47604e-05, 4.67963e-06 | 2.115e-06, 4.0165e-06, 2.13499e-07 | 8.07136e-06, 1.44937e-05, 1.649e-06 | 0.000117993, 0.000176032, 5.99534e-05 | 
| tanbeta = 10, m0 = 600 m12 = 780 | 1.63751e-05, 1.82762e-05, 1.4474e-05 | 6.74567e-05, 9.06058e-05, 4.43076e-05 | 0.00154027, 0.00161927, 0.00146127 | 3.62371e-05, 3.80214e-05, 3.44528e-05 | 1.58886e-05, 2.50725e-05, 6.70464e-06 | 0.000208815, 0.000250338, 0.000167293 | 1.1334e-05, 1.92441e-05, 3.42388e-06 | 1.569e-06, 3.02783e-06, 1.1017e-07 | 5.62845e-06, 1.0203e-05, 1.05386e-06 | 8.5339e-05, 0.000128733, 4.19454e-05 | 
| tanbeta = 10, m0 = 600 m12 = 800 | 1.25668e-05, 1.41169e-05, 1.10166e-05 | 5.45218e-05, 7.34699e-05, 3.55737e-05 | 0.00129052, 0.00135683, 0.00122421 | 3.34876e-05, 3.51041e-05, 3.1871e-05 | 1.15659e-05, 1.8496e-05, 4.63568e-06 | 0.000157399, 0.000189956, 0.000124843 | 8.639e-06, 1.48898e-05, 2.38819e-06 | 1.157e-06, 2.27474e-06, 3.92612e-08 | 3.87e-06, 7.08963e-06, 6.50372e-07 | 6.13968e-05, 9.37146e-05, 2.90791e-05 | 
| tanbeta = 10, m0 = 600 m12 = 820 | 9.6593e-06, 1.09248e-05, 8.39384e-06 | 4.40653e-05, 5.95788e-05, 2.85517e-05 | 0.00108306, 0.00113879, 0.00102733 | 3.09547e-05, 3.24153e-05, 2.94941e-05 | 8.49202e-06, 1.37641e-05, 3.2199e-06 | 0.000120091, 0.000145392, 9.47906e-05 | 6.619e-06, 1.15689e-05, 1.66914e-06 | 8.55e-07, 1.711e-06, -1.00408e-09 | 2.64e-06, 4.91252e-06, 3.67478e-07 | 4.42745e-05, 6.83144e-05, 2.02345e-05 | 
| tanbeta = 10, m0 = 600 m12 = 840 | 7.41235e-06, 8.4442e-06, 6.38049e-06 | 3.56807e-05, 4.84707e-05, 2.28907e-05 | 0.000910176, 0.000957175, 0.000863177 | 2.85968e-05, 2.99083e-05, 2.72853e-05 | 6.16837e-06, 1.01361e-05, 2.20067e-06 | 9.02105e-05, 0.000109769, 7.06516e-05 | 5.07e-06, 8.98671e-06, 1.15329e-06 | 6.3e-07, 1.28384e-06, -2.38432e-08 | 1.8e-06, 3.40483e-06, 1.95168e-07 | 3.17597e-05, 4.95617e-05, 1.39577e-05 | 
| tanbeta = 10, m0 = 600 m12 = 860 | 5.69705e-06, 6.54121e-06, 4.85289e-06 | 2.89391e-05, 3.94324e-05, 1.84459e-05 | 0.000767557, 0.000807423, 0.000727691 | 2.64088e-05, 2.76199e-05, 2.51977e-05 | 4.47552e-06, 7.44806e-06, 1.50297e-06 | 6.76695e-05, 8.26815e-05, 5.26574e-05 | 3.882e-06, 6.97765e-06, 7.86347e-07 | 4.64e-07, 9.61716e-07, -3.37163e-08 | 1.23e-06, 2.36393e-06, 9.60742e-08 | 2.27574e-05, 3.58858e-05, 9.6291e-06 | 
| tanbeta = 10, m0 = 600 m12 = 880 | 4.38664e-06, 5.0695e-06, 3.70379e-06 | 2.344e-05, 3.20638e-05, 1.48162e-05 | 0.000646613, 0.000680278, 0.000612948 | 2.43972e-05, 2.54985e-05, 2.32959e-05 | 3.24834e-06, 5.47608e-06, 1.02059e-06 | 5.0531e-05, 6.19765e-05, 3.90855e-05 | 2.976e-06, 5.42502e-06, 5.26981e-07 | 3.42e-07, 7.22275e-07, -3.82748e-08 | 8.27e-07, 1.61288e-06, 4.11248e-08 | 1.62146e-05, 2.586e-05, 6.56915e-06 | 
| tanbeta = 10, m0 = 600 m12 = 900 | 3.37367e-06, 3.93683e-06, 2.81052e-06 | 1.90041e-05, 2.60792e-05, 1.1929e-05 | 0.000546253, 0.000574849, 0.000517657 | 2.25216e-05, 2.3506e-05, 2.15372e-05 | 2.34291e-06, 3.99785e-06, 6.87972e-07 | 3.77315e-05, 4.65507e-05, 2.89122e-05 | 2.277e-06, 4.21503e-06, 3.38974e-07 | 2.516e-07, 5.39765e-07, -3.65652e-08 | 5.61e-07, 1.11054e-06, 1.14577e-08 | 1.15814e-05, 1.86835e-05, 4.47935e-06 | 
| tanbeta = 10, m0 = 600 m12 = 920 | 2.60129e-06, 3.05157e-06, 2.15101e-06 | 1.54344e-05, 2.12745e-05, 9.59422e-06 | 0.000461583, 0.000485692, 0.000437474 | 2.07944e-05, 2.16751e-05, 1.99136e-05 | 1.66e-06, 3.09654e-06, 2.23456e-07 | 2.58733e-05, 3.41139e-05, 1.76328e-05 | 1.751e-06, 3.28006e-06, 2.21935e-07 | 1.844e-07, 4.03539e-07, -3.47394e-08 | 2.56e-07, 6.76584e-07, -1.64584e-07 | 7.3e-06, 1.27222e-05, 1.8778e-06 | 
