 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=1.0) m0=1000, m1/2=100, tanbeta=10, A0=0, sign(mu)=+ve| 0.21912 | 0.0098908 | 58.1641 | 3.726e-06 | 0.00585 | 0.0385 | 0.015183 | 0.001121 | 65.5 | 2.29 |
 |(scale=1.0) m0=1000, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 0.152393 | 0.0090531 | 23.8174 | 3.699e-06 | 0.00545 | 0.0364 | 0.013279 | 0.001007 | 24.8 | 1.54 |
 |(scale=1.0) m0=1000, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 0.107404 | 0.0082055 | 11.8434 | 3.666e-06 | 0.00499 | 0.0339 | 0.011376 | 0.000887 | 10.5 | 1.05 |
 |(scale=1.0) m0=1000, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.076482 | 0.0073425 | 6.56059 | 3.6302e-06 | 0.00449 | 0.031 | 0.009558 | 0.00077 | 4.79 | 0.726 |
 |(scale=1.0) m0=1000, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.054879 | 0.0065146 | 3.91703 | 3.5863e-06 | 0.00398 | 0.0279 | 0.007607 | 0.0006589 | 2.34 | 0.506 |
 |(scale=1.0) m0=1000, m1/2=200, tanbeta=10, A0=0, sign(mu)=+ve| 0.039713 | 0.0057301 | 2.45012 | 3.5421e-06 | 0.00347 | 0.0248 | 0.006426 | 0.0005557 | 1.2 | 0.356 |
 |(scale=1.0) m0=1000, m1/2=20, tanbeta=10, A0=0, sign(mu)=+ve| 0.94824 | 0.012058 | 4.43882 | 3.7949e-06 | 0.00664 | 0.0423 | 0.01733 | 0.001288 | 98900 | 17.9 |
 |(scale=1.0) m0=1000, m1/2=220, tanbeta=10, A0=0, sign(mu)=+ve| 0.028909 | 0.00498929 | 1.60224 | 3.4888e-06 | 0.00298 | 0.0218 | 0.005274 | 0.0004642 | 0.642 | 0.252 |
 |(scale=1.0) m0=1000, m1/2=240, tanbeta=10, A0=0, sign(mu)=+ve| 0.0212149 | 0.00431413 | 1.08036 | 3.434e-06 | 0.00254 | 0.0189 | 0.004203 | 0.0003839 | 0.354 | 0.18 |
 |(scale=1.0) m0=1000, m1/2=260, tanbeta=10, A0=0, sign(mu)=+ve| 0.0156086 | 0.00371469 | 0.747791 | 3.3739e-06 | 0.00213 | 0.0162 | 0.003351 | 0.0003146 | 0.202 | 0.129 |
 |(scale=1.0) m0=1000, m1/2=280, tanbeta=10, A0=0, sign(mu)=+ve| 0.0115324 | 0.00317122 | 0.527789 | 3.3112e-06 | 0.00177 | 0.0138 | 0.002668 | 0.0002554 | 0.118 | 0.0924 |
 |(scale=1.0) m0=1000, m1/2=300, tanbeta=10, A0=0, sign(mu)=+ve| 0.008557 | 0.00270086 | 0.37952 | 3.2455e-06 | 0.00146 | 0.0117 | 0.002112 | 0.0002063 | 0.0702 | 0.0667 |
 |(scale=1.0) m0=1000, m1/2=320, tanbeta=10, A0=0, sign(mu)=+ve| 0.0063637 | 0.00228849 | 0.277536 | 3.1742e-06 | 0.00119 | 0.00979 | 0.001663 | 0.0001662 | 0.0425 | 0.0483 |
 |(scale=1.0) m0=1000, m1/2=340, tanbeta=10, A0=0, sign(mu)=+ve| 0.0047556 | 0.0019318 | 0.205926 | 3.10231e-06 | 0.000967 | 0.00816 | 0.0012998 | 0.0001321 | 0.0261 | 0.035 |
 |(scale=1.0) m0=1000, m1/2=360, tanbeta=10, A0=0, sign(mu)=+ve| 0.00355161 | 0.00162566 | 0.154568 | 3.02839e-06 | 0.000779 | 0.00676 | 0.0010218 | 0.0001052 | 0.0163 | 0.0255 |
 |(scale=1.0) m0=1000, m1/2=380, tanbeta=10, A0=0, sign(mu)=+ve| 0.00266704 | 0.00136338 | 0.117366 | 2.95337e-06 | 0.000623 | 0.00556 | 0.0007985 | 8.32e-05 | 0.0103 | 0.0186 |
 |(scale=1.0) m0=1000, m1/2=400, tanbeta=10, A0=0, sign(mu)=+ve| 0.00200904 | 0.00114087 | 0.0897654 | 2.87503e-06 | 0.000496 | 0.00456 | 0.0006246 | 6.57e-05 | 0.00658 | 0.0136 |
 |(scale=1.0) m0=1000, m1/2=40, tanbeta=10, A0=0, sign(mu)=+ve| 0.78959 | 0.0118228 | 55.0313 | 3.7763e-06 | 0.00654 | 0.0416 | 0.01852 | 0.001329 | 5310 | 9.38 |
 |(scale=1.0) m0=1000, m1/2=420, tanbeta=10, A0=0, sign(mu)=+ve| 0.00151579 | 0.000954345 | 0.0694674 | 2.79834e-06 | 0.000393 | 0.00372 | 0.0004883 | 5.163e-05 | 0.00426 | 0.00992 |
 |(scale=1.0) m0=1000, m1/2=440, tanbeta=10, A0=0, sign(mu)=+ve| 0.00114648 | 0.000795354 | 0.0540927 | 2.71806e-06 | 0.00031 | 0.00302 | 0.0003809 | 4.045e-05 | 0.00277 | 0.00726 |
 |(scale=1.0) m0=1000, m1/2=460, tanbeta=10, A0=0, sign(mu)=+ve| 0.00086989 | 0.000663161 | 0.04247 | 2.63926e-06 | 0.000243 | 0.00244 | 0.000297 | 3.165e-05 | 0.00182 | 0.00533 |
