 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=1.0) m0=1000, m1/2=480, tanbeta=10, A0=0, sign(mu)=+ve| 0.00066008 | 0.000550799 | 0.033495 | 2.55651e-06 | 0.00019 | 0.00197 | 0.0002323 | 2.466e-05 | 0.0012 | 0.00391 |
 |(scale=1.0) m0=1000, m1/2=500, tanbeta=10, A0=0, sign(mu)=+ve| 0.000504316 | 0.000457222 | 0.026682 | 2.47575e-06 | 0.000148 | 0.00158 | 0.0001806 | 1.913e-05 | 0.0008 | 0.00287 |
 |(scale=1.0) m0=1000, m1/2=520, tanbeta=10, A0=0, sign(mu)=+ve| 0.000383907 | 0.000380183 | 0.0213137 | 2.39719e-06 | 0.000115 | 0.00126 | 0.00014075 | 1.49e-05 | 0.000536 | 0.00211 |
 |(scale=1.0) m0=1000, m1/2=540, tanbeta=10, A0=0, sign(mu)=+ve| 0.000294083 | 0.000314448 | 0.017099 | 2.31795e-06 | 8.91e-05 | 0.00101 | 0.00010953 | 1.152e-05 | 0.00036 | 0.00155 |
 |(scale=1.0) m0=1000, m1/2=560, tanbeta=10, A0=0, sign(mu)=+ve| 0.000224912 | 0.00026108 | 0.0137901 | 2.2369e-06 | 6.87e-05 | 0.0008 | 8.57e-05 | 8.91e-06 | 0.000242 | 0.00114 |
 |(scale=1.0) m0=1000, m1/2=580, tanbeta=10, A0=0, sign(mu)=+ve| 0.000172487 | 0.000216227 | 0.0111685 | 2.15913e-06 | 5.29e-05 | 0.000634 | 6.686e-05 | 6.92e-06 | 0.000164 | 0.000837 |
 |(scale=1.0) m0=1000, m1/2=600, tanbeta=10, A0=0, sign(mu)=+ve| 0.000132399 | 0.000178992 | 0.00908711 | 2.0815e-06 | 4.06e-05 | 0.0005 | 5.213e-05 | 5.32e-06 | 0.000111 | 0.000614 |
 |(scale=1.0) m0=1000, m1/2=60, tanbeta=10, A0=0, sign(mu)=+ve| 0.49359 | 0.0113102 | 10.9241 | 3.7651e-06 | 0.0064 | 0.0411 | 0.01817 | 0.001303 | 821 | 5.55 |
 |(scale=1.0) m0=1000, m1/2=620, tanbeta=10, A0=0, sign(mu)=+ve| 0.000101777 | 0.000148155 | 0.00742876 | 2.0041e-06 | 3.11e-05 | 0.000394 | 4.063e-05 | 4.082e-06 | 7.52e-05 | 0.000451 |
 |(scale=1.0) m0=1000, m1/2=640, tanbeta=10, A0=0, sign(mu)=+ve| 7.83444e-05 | 0.000122455 | 0.00607582 | 1.92982e-06 | 2.37e-05 | 0.000309 | 3.171e-05 | 3.118e-06 | 5.12e-05 | 0.00033 |
 |(scale=1.0) m0=1000, m1/2=660, tanbeta=10, A0=0, sign(mu)=+ve| 6.04785e-05 | 0.000101364 | 0.00499487 | 1.85373e-06 | 1.81e-05 | 0.000242 | 2.473e-05 | 2.387e-06 | 3.49e-05 | 0.000242 |
 |(scale=1.0) m0=1000, m1/2=680, tanbeta=10, A0=0, sign(mu)=+ve| 4.6583e-05 | 8.38517e-05 | 0.00411121 | 1.78183e-06 | 1.37e-05 | 0.000188 | 1.927e-05 | 1.819e-06 | 2.39e-05 | 0.000177 |
 |(scale=1.0) m0=1000, m1/2=700, tanbeta=10, A0=0, sign(mu)=+ve| 3.6021e-05 | 6.92764e-05 | 0.00340398 | 1.7091e-06 | 1.04e-05 | 0.000147 | 1.5094e-05 | 1.387e-06 | 1.63e-05 | 0.000129 |
 |(scale=1.0) m0=1000, m1/2=720, tanbeta=10, A0=0, sign(mu)=+ve| 2.78109e-05 | 5.72922e-05 | 0.00282141 | 1.64094e-06 | 7.84e-06 | 0.000114 | 1.1782e-05 | 1.061e-06 | 1.11e-05 | 9.44e-05 |
 |(scale=1.0) m0=1000, m1/2=740, tanbeta=10, A0=0, sign(mu)=+ve| 2.15426e-05 | 4.74297e-05 | 0.00234549 | 1.57394e-06 | 5.91e-06 | 8.78e-05 | 9.149e-06 | 8.09e-07 | 7.62e-06 | 6.88e-05 |
 |(scale=1.0) m0=1000, m1/2=760, tanbeta=10, A0=0, sign(mu)=+ve| 1.66808e-05 | 3.90987e-05 | 0.00194959 | 1.50749e-06 | 4.44e-06 | 6.76e-05 | 7.135e-06 | 6.16e-07 | 5.2e-06 | 5e-05 |
 |(scale=1.0) m0=100, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 2.3473 | 4.922 | 48.9443 | 0.68246 | 30 | 28.8 | 8.047 | 3.24 | 35.3 | 105 |
 |(scale=1.0) m0=100, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 1.2441 | 2.6972 | 16.8367 | 0.5313 | 14.9 | 16.4 | 4.188 | 1.549 | 15 | 51.2 |
 |(scale=1.0) m0=100, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.7009 | 1.55437 | 7.68528 | 0.41581 | 7.86 | 9.81 | 2.219 | 0.786 | 6.9 | 26.5 |
 |(scale=1.0) m0=100, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.41182 | 0.9358 | 4.06803 | 0.32697 | 4.33 | 6.12 | 1.2082 | 0.418 | 3.38 | 14.4 |
 |(scale=1.0) m0=100, m1/2=200, tanbeta=10, A0=0, sign(mu)=+ve| 0.25177 | 0.58233 | 2.358 | 0.25887 | 2.48 | 3.94 | 0.6812 | 0.2324 | 1.74 | 8.17 |
 |(scale=1.0) m0=100, m1/2=220, tanbeta=10, A0=0, sign(mu)=+ve| 0.1587 | 0.373253 | 1.45815 | 0.20645 | 1.47 | 2.6 | 0.3953 | 0.1336 | 0.932 | 4.79 |
 |(scale=1.0) m0=100, m1/2=240, tanbeta=10, A0=0, sign(mu)=+ve| 0.102413 | 0.245121 | 0.945423 | 0.165801 | 0.891 | 1.75 | 0.2353 | 0.0791 | 0.516 | 2.89 |
 |(scale=1.0) m0=100, m1/2=260, tanbeta=10, A0=0, sign(mu)=+ve| 0.067303 | 0.164669 | 0.638295 | 0.13401 | 0.553 | 1.2 | 0.1435 | 0.048 | 0.294 | 1.79 |
 |(scale=1.0) m0=100, m1/2=280, tanbeta=10, A0=0, sign(mu)=+ve| 0.045175 | 0.11263 | 0.442558 | 0.108901 | 0.35 | 0.838 | 0.09002 | 0.0298 | 0.172 | 1.13 |
 |(scale=1.0) m0=100, m1/2=300, tanbeta=10, A0=0, sign(mu)=+ve| 0.030784 | 0.0782486 | 0.314939 | 0.089084 | 0.225 | 0.591 | 0.05746 | 0.01889 | 0.103 | 0.722 |
 |(scale=1.0) m0=100, m1/2=320, tanbeta=10, A0=0, sign(mu)=+ve| 0.0211746 | 0.0552684 | 0.228687 | 0.073399 | 0.147 | 0.421 | 0.03727 | 0.01214 | 0.0624 | 0.47 |
 |(scale=1.0) m0=100, m1/2=340, tanbeta=10, A0=0, sign(mu)=+ve| 0.0147707 | 0.0394547 | 0.168831 | 0.060617 | 0.0971 | 0.303 | 0.02459 | 0.00792 | 0.0385 | 0.31 |
 |(scale=1.0) m0=100, m1/2=360, tanbeta=10, A0=0, sign(mu)=+ve| 0.0104124 | 0.0285256 | 0.12662 | 0.0504501 | 0.0649 | 0.219 | 0.01651 | 0.00524 | 0.0241 | 0.207 |
 |(scale=1.0) m0=100, m1/2=380, tanbeta=10, A0=0, sign(mu)=+ve| 0.0073864 | 0.0208375 | 0.096119 | 0.0421282 | 0.0438 | 0.16 | 0.01118 | 0.0035 | 0.0153 | 0.14 |
 |(scale=1.0) m0=100, m1/2=400, tanbeta=10, A0=0, sign(mu)=+ve| 0.0052964 | 0.0153505 | 0.0738378 | 0.0352917 | 0.0298 | 0.117 | 0.007681 | 0.002372 | 0.00979 | 0.0952 |
 |(scale=1.0) m0=100, m1/2=420, tanbeta=10, A0=0, sign(mu)=+ve| 0.00381252 | 0.0114198 | 0.0573064 | 0.0297574 | 0.0204 | 0.0866 | 0.005326 | 0.001616 | 0.00633 | 0.0653 |
 |(scale=1.0) m0=100, m1/2=440, tanbeta=10, A0=0, sign(mu)=+ve| 0.00277208 | 0.00854151 | 0.0448035 | 0.0251551 | 0.0141 | 0.0642 | 0.003736 | 0.001112 | 0.00413 | 0.0451 |
 |(scale=1.0) m0=100, m1/2=460, tanbeta=10, A0=0, sign(mu)=+ve| 0.00202068 | 0.00644665 | 0.035316 | 0.021362 | 0.00976 | 0.0477 | 0.002637 | 0.00077 | 0.00271 | 0.0314 |
 |(scale=1.0) m0=100, m1/2=480, tanbeta=10, A0=0, sign(mu)=+ve| 0.0014822 | 0.00489524 | 0.0280464 | 0.0181802 | 0.0068 | 0.0355 | 0.001875 | 0.000538 | 0.0018 | 0.0219 |
 |(scale=1.0) m0=100, m1/2=500, tanbeta=10, A0=0, sign(mu)=+ve| 0.00109245 | 0.00373151 | 0.0223636 | 0.0155303 | 0.00477 | 0.0266 | 0.001346 | 0.000377 | 0.00119 | 0.0154 |
 |(scale=1.0) m0=100, m1/2=520, tanbeta=10, A0=0, sign(mu)=+ve| 0.00080806 | 0.00286632 | 0.0179929 | 0.0133278 | 0.00335 | 0.0199 | 0.000972 | 0.000266 | 0.000799 | 0.0109 |
 |(scale=1.0) m0=100, m1/2=540, tanbeta=10, A0=0, sign(mu)=+ve| 0.000602355 | 0.00221012 | 0.014533 | 0.0114565 | 0.00237 | 0.015 | 0.0007058 | 0.0001888 | 0.000538 | 0.00771 |
 |(scale=1.0) m0=100, m1/2=560, tanbeta=10, A0=0, sign(mu)=+ve| 0.000448457 | 0.00171187 | 0.0117906 | 0.00986754 | 0.00168 | 0.0112 | 0.0005148 | 0.0001341 | 0.000362 | 0.00547 |
 |(scale=1.0) m0=100, m1/2=580, tanbeta=10, A0=0, sign(mu)=+ve| 0.000335814 | 0.00133265 | 0.00959892 | 0.00854008 | 0.00119 | 0.00847 | 0.0003777 | 9.58e-05 | 0.000244 | 0.00389 |
 |(scale=1.0) m0=100, m1/2=600, tanbeta=10, A0=0, sign(mu)=+ve| 0.000251292 | 0.00103941 | 0.00785576 | 0.00739638 | 0.000848 | 0.00638 | 0.0002779 | 6.87e-05 | 0.000165 | 0.00277 |
 |(scale=1.0) m0=100, m1/2=620, tanbeta=10, A0=0, sign(mu)=+ve| 0.000188911 | 0.000814615 | 0.00645275 | 0.00641983 | 0.000606 | 0.00481 | 0.000206 | 4.94e-05 | 0.000112 | 0.00198 |
 |(scale=1.0) m0=100, m1/2=640, tanbeta=10, A0=0, sign(mu)=+ve| 0.000142269 | 0.00063984 | 0.00532402 | 0.00559687 | 0.000433 | 0.00362 | 0.0001523 | 3.56e-05 | 7.59e-05 | 0.00142 |
 |(scale=1.0) m0=100, m1/2=660, tanbeta=10, A0=0, sign(mu)=+ve| 0.000107393 | 0.000504819 | 0.0043907 | 0.00488193 | 0.00031 | 0.00273 | 0.0001132 | 2.57e-05 | 5.15e-05 | 0.00101 |
 |(scale=1.0) m0=100, m1/2=680, tanbeta=10, A0=0, sign(mu)=+ve| 8.11084e-05 | 0.000399833 | 0.00363917 | 0.00427395 | 0.000223 | 0.00206 | 8.49e-05 | 1.863e-05 | 3.5e-05 | 0.000725 |
 |(scale=1.0) m0=100, m1/2=700, tanbeta=10, A0=0, sign(mu)=+ve| 6.12018e-05 | 0.000316338 | 0.00302799 | 0.00375064 | 0.00016 | 0.00155 | 6.361e-05 | 1.349e-05 | 2.38e-05 | 0.000519 |
 |(scale=1.0) m0=100, m1/2=720, tanbeta=10, A0=0, sign(mu)=+ve| 4.51161e-05 | 0.000251427 | 0.00251734 | 0.00328672 | 0.000115 | 0.00117 | 4.781e-05 | 9.8e-06 | 1.63e-05 | 0.000372 |
 |(scale=1.0) m0=100, m1/2=740, tanbeta=10, A0=0, sign(mu)=+ve| 3.64287e-05 | 0.000200222 | 0.00210234 | 0.00289393 | 8.27e-05 | 0.00088 | 3.593e-05 | 7.12e-06 | 1.12e-05 | 0.000268 |
 |(scale=1.0) m0=100, m1/2=760, tanbeta=10, A0=0, sign(mu)=+ve| 2.78031e-05 | 0.000159871 | 0.00175878 | 0.00254661 | 5.95e-05 | 0.000662 | 2.707e-05 | 5.18e-06 | 7.7e-06 | 0.000193 |
 |(scale=1.0) m0=100, m1/2=80, tanbeta=10, A0=0, sign(mu)=+ve| 11.068 | 20.104 | 20.7405 | 1.1202 | 156 | 111 | 27.84 | 18.27 | 287 | 603 |
 |(scale=1.0) m0=1020, m1/2=100, tanbeta=10, A0=0, sign(mu)=+ve| 0.20693 | 0.0087588 | 57.3964 | 3.0581e-06 | 0.00484 | 0.0328 | 0.013253 | 0.000948 | 65.4 | 2.09 |
 |(scale=1.0) m0=1020, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 0.144199 | 0.0080349 | 23.6072 | 3.0342e-06 | 0.00453 | 0.0311 | 0.011668 | 0.000854 | 24.8 | 1.4 |
 |(scale=1.0) m0=1020, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 0.101685 | 0.0072931 | 11.7777 | 3.0097e-06 | 0.00416 | 0.029 | 0.010022 | 0.000756 | 10.4 | 0.961 |
 |(scale=1.0) m0=1020, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.072668 | 0.0065505 | 6.53363 | 2.9791e-06 | 0.00375 | 0.0266 | 0.008459 | 0.0006583 | 4.78 | 0.666 |
 |(scale=1.0) m0=1020, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.052407 | 0.0058227 | 3.90142 | 2.948e-06 | 0.00334 | 0.0241 | 0.006633 | 0.000566 | 2.33 | 0.466 |
 |(scale=1.0) m0=1020, m1/2=200, tanbeta=10, A0=0, sign(mu)=+ve| 0.037974 | 0.00512872 | 2.44501 | 2.9093e-06 | 0.00292 | 0.0215 | 0.005704 | 0.0004799 | 1.2 | 0.329 |
 |(scale=1.0) m0=1020, m1/2=20, tanbeta=10, A0=0, sign(mu)=+ve| 0.825 | 0.010603 | 4.82317 | 3.1142e-06 | 0.00547 | 0.0358 | 0.015061 | 0.001084 | 99000 | 16.1 |
 |(scale=1.0) m0=1020, m1/2=220, tanbeta=10, A0=0, sign(mu)=+ve| 0.027789 | 0.00448072 | 1.60096 | 2.8669e-06 | 0.00252 | 0.0189 | 0.004723 | 0.0004025 | 0.64 | 0.233 |
 |(scale=1.0) m0=1020, m1/2=240, tanbeta=10, A0=0, sign(mu)=+ve| 0.0203871 | 0.003896 | 1.07961 | 2.8222e-06 | 0.00215 | 0.0165 | 0.0038 | 0.0003339 | 0.353 | 0.167 |
 |(scale=1.0) m0=1020, m1/2=260, tanbeta=10, A0=0, sign(mu)=+ve| 0.0150228 | 0.00335873 | 0.747298 | 2.7758e-06 | 0.00182 | 0.0142 | 0.003035 | 0.0002742 | 0.201 | 0.12 |
 |(scale=1.0) m0=1020, m1/2=280, tanbeta=10, A0=0, sign(mu)=+ve| 0.0111264 | 0.0028833 | 0.528456 | 2.7232e-06 | 0.00152 | 0.0121 | 0.002418 | 0.0002243 | 0.117 | 0.0861 |
 |(scale=1.0) m0=1020, m1/2=300, tanbeta=10, A0=0, sign(mu)=+ve| 0.0082464 | 0.00245912 | 0.380505 | 2.6713e-06 | 0.00125 | 0.0103 | 0.001917 | 0.0001814 | 0.0696 | 0.0622 |
 |(scale=1.0) m0=1020, m1/2=320, tanbeta=10, A0=0, sign(mu)=+ve| 0.0061496 | 0.00209036 | 0.278893 | 2.61454e-06 | 0.00103 | 0.00865 | 0.001521 | 0.0001463 | 0.0423 | 0.0451 |
 |(scale=1.0) m0=1020, m1/2=340, tanbeta=10, A0=0, sign(mu)=+ve| 0.004601 | 0.00176952 | 0.206526 | 2.55694e-06 | 0.000837 | 0.00723 | 0.0012004 | 0.0001172 | 0.026 | 0.0328 |
 |(scale=1.0) m0=1020, m1/2=360, tanbeta=10, A0=0, sign(mu)=+ve| 0.00344552 | 0.00149298 | 0.154994 | 2.4973e-06 | 0.000676 | 0.006 | 0.0009396 | 9.34e-05 | 0.0162 | 0.0239 |
 |(scale=1.0) m0=1020, m1/2=380, tanbeta=10, A0=0, sign(mu)=+ve| 0.00259115 | 0.00125584 | 0.117607 | 2.43755e-06 | 0.000543 | 0.00495 | 0.0007372 | 7.41e-05 | 0.0103 | 0.0174 |
 |(scale=1.0) m0=1020, m1/2=400, tanbeta=10, A0=0, sign(mu)=+ve| 0.00195281 | 0.00105318 | 0.0901276 | 2.37614e-06 | 0.000434 | 0.00407 | 0.0005771 | 5.87e-05 | 0.00656 | 0.0128 |
 |(scale=1.0) m0=1020, m1/2=420, tanbeta=10, A0=0, sign(mu)=+ve| 0.00147485 | 0.000883322 | 0.0697414 | 2.31123e-06 | 0.000345 | 0.00333 | 0.000452 | 4.619e-05 | 0.00423 | 0.00934 |
 |(scale=1.0) m0=1020, m1/2=440, tanbeta=10, A0=0, sign(mu)=+ve| 0.00111687 | 0.00073683 | 0.0543241 | 2.2476e-06 | 0.000273 | 0.00271 | 0.0003544 | 3.628e-05 | 0.00276 | 0.00685 |
 |(scale=1.0) m0=1020, m1/2=460, tanbeta=10, A0=0, sign(mu)=+ve| 0.00084648 | 0.000615313 | 0.0426971 | 2.18134e-06 | 0.000215 | 0.00219 | 0.0002771 | 2.85e-05 | 0.00181 | 0.00503 |
 |(scale=1.0) m0=1020, m1/2=480, tanbeta=10, A0=0, sign(mu)=+ve| 0.000644803 | 0.000512526 | 0.033615 | 2.11745e-06 | 0.000168 | 0.00177 | 0.0002169 | 2.228e-05 | 0.00119 | 0.0037 |
 |(scale=1.0) m0=1020, m1/2=500, tanbeta=10, A0=0, sign(mu)=+ve| 0.000491548 | 0.000426568 | 0.0267429 | 2.05172e-06 | 0.000131 | 0.00142 | 0.0001685 | 1.738e-05 | 0.000795 | 0.00272 |
 |(scale=1.0) m0=1020, m1/2=520, tanbeta=10, A0=0, sign(mu)=+ve| 0.000375284 | 0.000355394 | 0.0213592 | 1.98719e-06 | 0.000102 | 0.00114 | 0.00013193 | 1.346e-05 | 0.000532 | 0.002 |
 |(scale=1.0) m0=1020, m1/2=540, tanbeta=10, A0=0, sign(mu)=+ve| 0.000286699 | 0.000294674 | 0.0171744 | 1.92085e-06 | 7.93e-05 | 0.000912 | 0.00010321 | 1.046e-05 | 0.000357 | 0.00147 |
 |(scale=1.0) m0=1020, m1/2=560, tanbeta=10, A0=0, sign(mu)=+ve| 0.000219859 | 0.000244807 | 0.0138556 | 1.85667e-06 | 6.14e-05 | 0.000726 | 8.053e-05 | 8.11e-06 | 0.00024 | 0.00108 |
 |(scale=1.0) m0=1020, m1/2=580, tanbeta=10, A0=0, sign(mu)=+ve| 0.000168547 | 0.000203103 | 0.0112257 | 1.79133e-06 | 4.73e-05 | 0.000575 | 6.291e-05 | 6.27e-06 | 0.000162 | 0.000794 |
 |(scale=1.0) m0=1020, m1/2=600, tanbeta=10, A0=0, sign(mu)=+ve| 0.00012967 | 0.000168538 | 0.0091252 | 1.729e-06 | 3.64e-05 | 0.000455 | 4.916e-05 | 4.861e-06 | 0.00011 | 0.000583 |
 |(scale=1.0) m0=1020, m1/2=60, tanbeta=10, A0=0, sign(mu)=+ve| 0.46292 | 0.0099809 | 10.8109 | 3.0872e-06 | 0.00528 | 0.0349 | 0.015803 | 0.001094 | 819 | 5.01 |
 |(scale=1.0) m0=1020, m1/2=620, tanbeta=10, A0=0, sign(mu)=+ve| 9.96569e-05 | 0.000139737 | 0.00745705 | 1.66597e-06 | 2.79e-05 | 0.000358 | 3.843e-05 | 3.742e-06 | 7.45e-05 | 0.000428 |
 |(scale=1.0) m0=1020, m1/2=640, tanbeta=10, A0=0, sign(mu)=+ve| 7.6851e-05 | 0.000115659 | 0.0060995 | 1.60474e-06 | 2.13e-05 | 0.000282 | 2.996e-05 | 2.869e-06 | 5.07e-05 | 0.000314 |
 |(scale=1.0) m0=1020, m1/2=660, tanbeta=10, A0=0, sign(mu)=+ve| 5.924e-05 | 9.58946e-05 | 0.00500794 | 1.54399e-06 | 1.63e-05 | 0.00022 | 2.342e-05 | 2.194e-06 | 3.46e-05 | 0.00023 |
 |(scale=1.0) m0=1020, m1/2=680, tanbeta=10, A0=0, sign(mu)=+ve| 4.57771e-05 | 7.93687e-05 | 0.00413328 | 1.48401e-06 | 1.24e-05 | 0.000172 | 1.829e-05 | 1.678e-06 | 2.36e-05 | 0.000169 |
 |(scale=1.0) m0=1020, m1/2=700, tanbeta=10, A0=0, sign(mu)=+ve| 3.52964e-05 | 6.5706e-05 | 0.00341607 | 1.42549e-06 | 9.38e-06 | 0.000134 | 1.4232e-05 | 1.286e-06 | 1.61e-05 | 0.000123 |
 |(scale=1.0) m0=1020, m1/2=720, tanbeta=10, A0=0, sign(mu)=+ve| 2.73075e-05 | 5.44219e-05 | 0.00282695 | 1.36863e-06 | 7.09e-06 | 0.000104 | 1.1135e-05 | 9.8e-07 | 1.1e-05 | 9e-05 |
 |(scale=1.0) m0=1020, m1/2=740, tanbeta=10, A0=0, sign(mu)=+ve| 2.11504e-05 | 4.49361e-05 | 0.00234884 | 1.31423e-06 | 5.35e-06 | 8.03e-05 | 8.704e-06 | 7.48e-07 | 7.54e-06 | 6.55e-05 |
 |(scale=1.0) m0=1020, m1/2=760, tanbeta=10, A0=0, sign(mu)=+ve| 1.6379e-05 | 3.72317e-05 | 0.00195808 | 1.25885e-06 | 4.02e-06 | 6.19e-05 | 6.799e-06 | 5.69e-07 | 5.14e-06 | 4.76e-05 |
 |(scale=1.0) m0=1040, m1/2=100, tanbeta=10, A0=0, sign(mu)=+ve| 0.19604 | 0.0077534 | 56.9393 | 2.5103e-06 | 0.00401 | 0.0279 | 0.011645 | 0.000805 | 65.1 | 1.9 |
 |(scale=1.0) m0=1040, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 0.13653 | 0.0071343 | 23.4485 | 2.492e-06 | 0.00376 | 0.0266 | 0.010253 | 0.0007271 | 24.6 | 1.28 |
 |(scale=1.0) m0=1040, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 0.096483 | 0.0064898 | 11.713 | 2.471e-06 | 0.00346 | 0.0248 | 0.008841 | 0.0006456 | 10.4 | 0.879 |
 |(scale=1.0) m0=1040, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.069301 | 0.0058368 | 6.51669 | 2.4485e-06 | 0.00314 | 0.0229 | 0.007502 | 0.000564 | 4.76 | 0.611 |
 |(scale=1.0) m0=1040, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.050049 | 0.0052022 | 3.88578 | 2.4216e-06 | 0.0028 | 0.0207 | 0.005657 | 0.0004864 | 2.32 | 0.429 |
