 | Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg | 
 |(scale=1.0) m0=1280, m1/2=640, tanbeta=10, A0=0, sign(mu)=+ve| 5.77379e-05 | 5.09896e-05 | 0.00661854 | 1.31568e-07 | 4.56e-06 | 7.07e-05 | 1.197e-05 | 7.81e-07 | 4.32e-05 | 0.000149 |
 |(scale=1.0) m0=1280, m1/2=660, tanbeta=10, A0=0, sign(mu)=+ve| 4.48972e-05 | 4.29391e-05 | 0.00543591 | 1.26796e-07 | 3.53e-06 | 5.59e-05 | 9.494e-06 | 6.093e-07 | 2.94e-05 | 0.00011 |
 |(scale=1.0) m0=1280, m1/2=680, tanbeta=10, A0=0, sign(mu)=+ve| 3.48158e-05 | 3.60548e-05 | 0.0044674 | 1.2205e-07 | 2.73e-06 | 4.41e-05 | 7.514e-06 | 4.739e-07 | 2e-05 | 8.06e-05 |
 |(scale=1.0) m0=1280, m1/2=700, tanbeta=10, A0=0, sign(mu)=+ve| 2.70756e-05 | 3.03344e-05 | 0.00368132 | 1.17386e-07 | 2.1e-06 | 3.46e-05 | 5.956e-06 | 3.678e-07 | 1.36e-05 | 5.9e-05 |
 |(scale=1.0) m0=1280, m1/2=720, tanbeta=10, A0=0, sign(mu)=+ve| 2.10572e-05 | 2.54401e-05 | 0.00305478 | 1.12929e-07 | 1.6e-06 | 2.7e-05 | 4.706e-06 | 2.841e-07 | 9.22e-06 | 4.32e-05 |
 |(scale=1.0) m0=1280, m1/2=740, tanbeta=10, A0=0, sign(mu)=+ve| 1.64101e-05 | 2.13389e-05 | 0.00253519 | 1.08293e-07 | 1.22e-06 | 2.1e-05 | 3.718e-06 | 2.191e-07 | 6.26e-06 | 3.15e-05 |
 |(scale=1.0) m0=1280, m1/2=760, tanbeta=10, A0=0, sign(mu)=+ve| 1.27889e-05 | 1.78755e-05 | 0.00210382 | 1.0391e-07 | 9.28e-07 | 1.63e-05 | 2.931e-06 | 1.692e-07 | 4.24e-06 | 2.29e-05 |
 |(scale=1.0) m0=1280, m1/2=780, tanbeta=10, A0=0, sign(mu)=+ve| 9.96912e-06 | 1.49645e-05 | 0.00175446 | 9.96811e-08 | 7e-07 | 1.26e-05 | 2.313e-06 | 1.301e-07 | 2.87e-06 | 1.66e-05 |
 |(scale=1.0) m0=1280, m1/2=800, tanbeta=10, A0=0, sign(mu)=+ve| 7.78745e-06 | 1.25148e-05 | 0.00146354 | 9.54633e-08 | 5.26e-07 | 9.66e-06 | 1.8209e-06 | 9.9e-08 | 1.94e-06 | 1.2e-05 |
 |(scale=1.0) m0=1280, m1/2=820, tanbeta=10, A0=0, sign(mu)=+ve| 6.08779e-06 | 1.0464e-05 | 0.00122274 | 9.13685e-08 | 3.94e-07 | 7.38e-06 | 1.4339e-06 | 7.52e-08 | 1.31e-06 | 8.6e-06 |
 |(scale=1.0) m0=1280, m1/2=840, tanbeta=10, A0=0, sign(mu)=+ve| 4.75438e-06 | 8.72879e-06 | 0.00102573 | 8.74358e-08 | 2.93e-07 | 5.61e-06 | 1.1308e-06 | 5.695e-08 | 8.8e-07 | 6.16e-06 |
 |(scale=1.0) m0=1280, m1/2=860, tanbeta=10, A0=0, sign(mu)=+ve| 3.72214e-06 | 7.29471e-06 | 0.000860029 | 8.35948e-08 | 2.17e-07 | 4.25e-06 | 8.888e-07 | 4.297e-08 | 5.89e-07 | 4.39e-06 |
 |(scale=1.0) m0=1280, m1/2=880, tanbeta=10, A0=0, sign(mu)=+ve| 2.91017e-06 | 6.09057e-06 | 0.000722135 | 7.98057e-08 | 1.59e-07 | 3.2e-06 | 6.982e-07 | 3.23e-08 | 3.93e-07 | 3.12e-06 |
 |(scale=1.0) m0=1280, m1/2=900, tanbeta=10, A0=0, sign(mu)=+ve| 2.27885e-06 | 5.07376e-06 | 0.000607564 | 7.61983e-08 | 1.17e-07 | 2.4e-06 | 5.484e-07 | 2.424e-08 | 2.61e-07 | 2.2e-06 |
 |(scale=1.0) m0=1280, m1/2=920, tanbeta=10, A0=0, sign(mu)=+ve| 1.78167e-06 | 4.21938e-06 | 0.000511918 | 7.27517e-08 | 8.48e-08 | 1.79e-06 | 4.3e-07 | 1.807e-08 | 1.72e-07 | 1.55e-06 |
 |(scale=1.0) m0=1280, m1/2=940, tanbeta=10, A0=0, sign(mu)=+ve| 1.39436e-06 | 3.52289e-06 | 0.000431814 | 6.93769e-08 | 6.13e-08 | 1.33e-06 | 3.3668e-07 | 1.345e-08 | 1.13e-07 | 1.08e-06 |
 |(scale=1.0) m0=1280, m1/2=960, tanbeta=10, A0=0, sign(mu)=+ve| 1.09046e-06 | 2.94212e-06 | 0.000364444 | 6.60732e-08 | 4.4e-08 | 9.79e-07 | 2.6318e-07 | 1e-08 | 7.34e-08 | 7.49e-07 |
 |(scale=1.0) m0=1280, m1/2=980, tanbeta=10, A0=0, sign(mu)=+ve| 8.53012e-07 | 2.45054e-06 | 0.000308571 | 6.29006e-08 | 3.13e-08 | 7.17e-07 | 2.053e-07 | 7.37e-09 | 4.74e-08 | 5.16e-07 |
 |(scale=1.0) m0=1300, m1/2=1000, tanbeta=10, A0=0, sign(mu)=+ve| 6.58276e-07 | 1.94541e-06 | 0.000261689 | 5.02957e-08 | 1.96e-08 | 4.68e-07 | 1.526e-07 | 4.966e-09 | 3e-08 | 3.33e-07 |
 |(scale=1.0) m0=1300, m1/2=100, tanbeta=10, A0=0, sign(mu)=+ve| 0.09734 | 0.0017329 | 74.9437 | 1.9913e-07 | 0.000365 | 0.00342 | 0.0019242 | 9.704e-05 | 60.4 | 0.577 |
 |(scale=1.0) m0=1300, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 0.069941 | 0.0016289 | 27.6201 | 1.9768e-07 | 0.000349 | 0.00333 | 0.0017572 | 8.996e-05 | 22.7 | 0.401 |
 |(scale=1.0) m0=1300, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 0.050789 | 0.00151674 | 13.1911 | 1.9607e-07 | 0.00033 | 0.0032 | 0.0015801 | 8.266e-05 | 9.6 | 0.283 |
 |(scale=1.0) m0=1300, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.037374 | 0.00140082 | 7.19215 | 1.9428e-07 | 0.000309 | 0.00304 | 0.0014029 | 7.492e-05 | 4.38 | 0.202 |
 |(scale=1.0) m0=1300, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.027735 | 0.00128409 | 4.23841 | 1.9213e-07 | 0.000285 | 0.00285 | 0.0012255 | 6.673e-05 | 2.14 | 0.145 |
 |(scale=1.0) m0=1300, m1/2=200, tanbeta=10, A0=0, sign(mu)=+ve| 0.020602 | 0.00116641 | 2.65051 | 1.9007e-07 | 0.000259 | 0.00264 | 0.0010586 | 5.896e-05 | 1.1 | 0.105 |
 |(scale=1.0) m0=1300, m1/2=220, tanbeta=10, A0=0, sign(mu)=+ve| 0.0154218 | 0.00105314 | 1.72718 | 1.8768e-07 | 0.000234 | 0.00242 | 0.0009021 | 5.15e-05 | 0.586 | 0.0768 |
 |(scale=1.0) m0=1300, m1/2=240, tanbeta=10, A0=0, sign(mu)=+ve| 0.0115594 | 0.0009437 | 1.16685 | 1.84961e-07 | 0.000208 | 0.00219 | 0.0007632 | 4.468e-05 | 0.324 | 0.0562 |
 |(scale=1.0) m0=1300, m1/2=260, tanbeta=10, A0=0, sign(mu)=+ve| 0.0087072 | 0.00084315 | 0.80865 | 1.82103e-07 | 0.000183 | 0.00196 | 0.0006408 | 3.829e-05 | 0.184 | 0.0413 |
 |(scale=1.0) m0=1300, m1/2=280, tanbeta=10, A0=0, sign(mu)=+ve| 0.0065892 | 0.00074607 | 0.571473 | 1.79005e-07 | 0.00016 | 0.00174 | 0.000519 | 3.264e-05 | 0.107 | 0.0305 |
 |(scale=1.0) m0=1300, m1/2=300, tanbeta=10, A0=0, sign(mu)=+ve| 0.0049946 | 0.000659069 | 0.412747 | 1.75742e-07 | 0.000138 | 0.00153 | 0.0004398 | 2.754e-05 | 0.0637 | 0.0225 |
 |(scale=1.0) m0=1300, m1/2=320, tanbeta=10, A0=0, sign(mu)=+ve| 0.0037905 | 0.000577549 | 0.302656 | 1.7253e-07 | 0.000118 | 0.00133 | 0.0003671 | 2.309e-05 | 0.0386 | 0.0167 |
 |(scale=1.0) m0=1300, m1/2=340, tanbeta=10, A0=0, sign(mu)=+ve| 0.00288302 | 0.00050456 | 0.224906 | 1.69147e-07 | 0.0001 | 0.00115 | 0.000303 | 1.919e-05 | 0.0237 | 0.0124 |
 |(scale=1.0) m0=1300, m1/2=360, tanbeta=10, A0=0, sign(mu)=+ve| 0.00219849 | 0.000440695 | 0.169055 | 1.65609e-07 | 8.43e-05 | 0.00099 | 0.0002463 | 1.593e-05 | 0.0148 | 0.00918 |
 |(scale=1.0) m0=1300, m1/2=380, tanbeta=10, A0=0, sign(mu)=+ve| 0.00167694 | 0.000381313 | 0.128549 | 1.61773e-07 | 7.04e-05 | 0.000843 | 0.0002001 | 1.312e-05 | 0.00932 | 0.00682 |
 |(scale=1.0) m0=1300, m1/2=400, tanbeta=10, A0=0, sign(mu)=+ve| 0.00128034 | 0.00032925 | 0.0985267 | 1.57757e-07 | 5.84e-05 | 0.000714 | 0.00016219 | 1.071e-05 | 0.00593 | 0.00507 |
 |(scale=1.0) m0=1300, m1/2=420, tanbeta=10, A0=0, sign(mu)=+ve| 0.00098144 | 0.000284512 | 0.0762501 | 1.53961e-07 | 4.81e-05 | 0.0006 | 0.00013063 | 8.72e-06 | 0.00382 | 0.00377 |
 |(scale=1.0) m0=1300, m1/2=440, tanbeta=10, A0=0, sign(mu)=+ve| 0.00075239 | 0.000244085 | 0.0594928 | 1.50074e-07 | 3.94e-05 | 0.000502 | 0.00010535 | 7.074e-06 | 0.00247 | 0.0028 |
 |(scale=1.0) m0=1300, m1/2=460, tanbeta=10, A0=0, sign(mu)=+ve| 0.000577457 | 0.000209214 | 0.0467096 | 1.46102e-07 | 3.21e-05 | 0.000417 | 8.5e-05 | 5.709e-06 | 0.00161 | 0.00208 |
 |(scale=1.0) m0=1300, m1/2=480, tanbeta=10, A0=0, sign(mu)=+ve| 0.000443479 | 0.000178907 | 0.0368455 | 1.42035e-07 | 2.6e-05 | 0.000345 | 6.824e-05 | 4.59e-06 | 0.00106 | 0.00155 |
 |(scale=1.0) m0=1300, m1/2=500, tanbeta=10, A0=0, sign(mu)=+ve| 0.000341198 | 0.000152572 | 0.0292625 | 1.37999e-07 | 2.09e-05 | 0.000283 | 5.464e-05 | 3.673e-06 | 0.000702 | 0.00115 |
 |(scale=1.0) m0=1300, m1/2=520, tanbeta=10, A0=0, sign(mu)=+ve| 0.000263038 | 0.000129888 | 0.0233757 | 1.33953e-07 | 1.68e-05 | 0.000232 | 4.377e-05 | 2.927e-06 | 0.000466 | 0.000854 |
 |(scale=1.0) m0=1300, m1/2=540, tanbeta=10, A0=0, sign(mu)=+ve| 0.000202992 | 0.000110414 | 0.0187812 | 1.29855e-07 | 1.34e-05 | 0.000189 | 3.492e-05 | 2.328e-06 | 0.00031 | 0.000633 |
 |(scale=1.0) m0=1300, m1/2=560, tanbeta=10, A0=0, sign(mu)=+ve| 0.000156798 | 9.35852e-05 | 0.0151497 | 1.25746e-07 | 1.06e-05 | 0.000153 | 2.784e-05 | 1.843e-06 | 0.000208 | 0.00047 |
 |(scale=1.0) m0=1300, m1/2=580, tanbeta=10, A0=0, sign(mu)=+ve| 0.000121209 | 7.93562e-05 | 0.0122566 | 1.21642e-07 | 8.38e-06 | 0.000123 | 2.227e-05 | 1.46e-06 | 0.00014 | 0.000348 |
 |(scale=1.0) m0=1300, m1/2=600, tanbeta=10, A0=0, sign(mu)=+ve| 9.3844e-05 | 6.70286e-05 | 0.00995232 | 1.17426e-07 | 6.59e-06 | 9.91e-05 | 1.7744e-05 | 1.147e-06 | 9.4e-05 | 0.000258 |
 |(scale=1.0) m0=1300, m1/2=620, tanbeta=10, A0=0, sign(mu)=+ve| 7.27205e-05 | 5.6646e-05 | 0.00811929 | 1.13616e-07 | 5.16e-06 | 7.92e-05 | 1.4063e-05 | 9.01e-07 | 6.34e-05 | 0.00019 |
 |(scale=1.0) m0=1300, m1/2=640, tanbeta=10, A0=0, sign(mu)=+ve| 5.63898e-05 | 4.79467e-05 | 0.00664058 | 1.09498e-07 | 4.02e-06 | 6.3e-05 | 1.1219e-05 | 7.06e-07 | 4.29e-05 | 0.000141 |
 |(scale=1.0) m0=1300, m1/2=660, tanbeta=10, A0=0, sign(mu)=+ve| 4.37825e-05 | 4.02197e-05 | 0.00546155 | 1.05597e-07 | 3.12e-06 | 4.99e-05 | 8.895e-06 | 5.511e-07 | 2.92e-05 | 0.000104 |
 |(scale=1.0) m0=1300, m1/2=680, tanbeta=10, A0=0, sign(mu)=+ve| 3.40717e-05 | 3.39434e-05 | 0.00449178 | 1.01719e-07 | 2.41e-06 | 3.94e-05 | 7.055e-06 | 4.293e-07 | 1.98e-05 | 7.61e-05 |
 |(scale=1.0) m0=1300, m1/2=700, tanbeta=10, A0=0, sign(mu)=+ve| 2.65231e-05 | 2.85598e-05 | 0.0037054 | 9.78234e-08 | 1.86e-06 | 3.09e-05 | 5.594e-06 | 3.331e-07 | 1.35e-05 | 5.58e-05 |
 |(scale=1.0) m0=1300, m1/2=720, tanbeta=10, A0=0, sign(mu)=+ve| 2.06453e-05 | 2.39521e-05 | 0.00307057 | 9.40613e-08 | 1.42e-06 | 2.42e-05 | 4.428e-06 | 2.579e-07 | 9.15e-06 | 4.08e-05 |
 |(scale=1.0) m0=1300, m1/2=740, tanbeta=10, A0=0, sign(mu)=+ve| 1.60788e-05 | 2.00953e-05 | 0.00253981 | 9.03326e-08 | 1.08e-06 | 1.88e-05 | 3.505e-06 | 1.991e-07 | 6.21e-06 | 2.97e-05 |
 |(scale=1.0) m0=1300, m1/2=760, tanbeta=10, A0=0, sign(mu)=+ve| 1.25479e-05 | 1.68641e-05 | 0.00211831 | 8.6736e-08 | 8.24e-07 | 1.46e-05 | 2.772e-06 | 1.532e-07 | 4.21e-06 | 2.16e-05 |
 |(scale=1.0) m0=1300, m1/2=780, tanbeta=10, A0=0, sign(mu)=+ve| 9.78832e-06 | 1.4126e-05 | 0.00176092 | 8.33114e-08 | 6.22e-07 | 1.13e-05 | 2.1854e-06 | 1.188e-07 | 2.85e-06 | 1.57e-05 |
 |(scale=1.0) m0=1300, m1/2=800, tanbeta=10, A0=0, sign(mu)=+ve| 7.64296e-06 | 1.18284e-05 | 0.00146969 | 7.97199e-08 | 4.68e-07 | 8.65e-06 | 1.7252e-06 | 9.04e-08 | 1.92e-06 | 1.13e-05 |
 |(scale=1.0) m0=1300, m1/2=820, tanbeta=10, A0=0, sign(mu)=+ve| 5.97648e-06 | 9.89012e-06 | 0.00122895 | 7.63592e-08 | 3.5e-07 | 6.62e-06 | 1.3596e-06 | 6.87e-08 | 1.3e-06 | 8.13e-06 |
 |(scale=1.0) m0=1300, m1/2=840, tanbeta=10, A0=0, sign(mu)=+ve| 4.66612e-06 | 8.26899e-06 | 0.00102992 | 7.30703e-08 | 2.6e-07 | 5.03e-06 | 1.0676e-06 | 5.214e-08 | 8.71e-07 | 5.82e-06 |
 |(scale=1.0) m0=1300, m1/2=860, tanbeta=10, A0=0, sign(mu)=+ve| 3.64697e-06 | 6.9137e-06 | 0.000863146 | 6.99431e-08 | 1.93e-07 | 3.81e-06 | 8.414e-07 | 3.931e-08 | 5.83e-07 | 4.15e-06 |
 |(scale=1.0) m0=1300, m1/2=880, tanbeta=10, A0=0, sign(mu)=+ve| 2.85304e-06 | 5.76833e-06 | 0.000725254 | 6.67574e-08 | 1.42e-07 | 2.87e-06 | 6.614e-07 | 2.963e-08 | 3.88e-07 | 2.95e-06 |
 |(scale=1.0) m0=1300, m1/2=900, tanbeta=10, A0=0, sign(mu)=+ve| 2.23876e-06 | 4.81797e-06 | 0.000609899 | 6.38628e-08 | 1.04e-07 | 2.15e-06 | 5.19e-07 | 2.221e-08 | 2.58e-07 | 2.08e-06 |
 |(scale=1.0) m0=1300, m1/2=920, tanbeta=10, A0=0, sign(mu)=+ve| 1.74961e-06 | 4.00393e-06 | 0.000513268 | 6.09295e-08 | 7.54e-08 | 1.6e-06 | 4.07e-07 | 1.656e-08 | 1.7e-07 | 1.46e-06 |
 |(scale=1.0) m0=1300, m1/2=940, tanbeta=10, A0=0, sign(mu)=+ve| 1.37031e-06 | 3.34087e-06 | 0.000433028 | 5.81072e-08 | 5.44e-08 | 1.19e-06 | 3.1893e-07 | 1.232e-08 | 1.11e-07 | 1.02e-06 |
 |(scale=1.0) m0=1300, m1/2=960, tanbeta=10, A0=0, sign(mu)=+ve| 1.07302e-06 | 2.7953e-06 | 0.000365657 | 5.54158e-08 | 3.9e-08 | 8.77e-07 | 2.4963e-07 | 9.15e-09 | 7.25e-08 | 7.07e-07 |
 |(scale=1.0) m0=1300, m1/2=980, tanbeta=10, A0=0, sign(mu)=+ve| 8.39884e-07 | 2.33287e-06 | 0.00030908 | 5.27954e-08 | 2.78e-08 | 6.42e-07 | 1.9489e-07 | 6.753e-09 | 4.68e-08 | 4.87e-07 |
 |(scale=1.0) m0=1320, m1/2=1000, tanbeta=10, A0=0, sign(mu)=+ve| 6.47457e-07 | 1.85191e-06 | 0.000263204 | 4.22164e-08 | 1.73e-08 | 4.18e-07 | 1.4532e-07 | 4.543e-09 | 2.96e-08 | 3.13e-07 |
 |(scale=1.0) m0=1320, m1/2=100, tanbeta=10, A0=0, sign(mu)=+ve| 0.092136 | 0.0015541 | 75.3558 | 1.6403e-07 | 0.000305 | 0.00291 | 0.0017024 | 8.291e-05 | 60.2 | 0.528 |
 |(scale=1.0) m0=1320, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 0.066495 | 0.00146131 | 27.6628 | 1.6289e-07 | 0.000292 | 0.00283 | 0.0015568 | 7.737e-05 | 22.7 | 0.368 |
 |(scale=1.0) m0=1320, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 0.048497 | 0.00136298 | 13.2062 | 1.6178e-07 | 0.000277 | 0.00272 | 0.0014006 | 7.106e-05 | 9.55 | 0.26 |
 |(scale=1.0) m0=1320, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.035773 | 0.00126082 | 7.1733 | 1.6018e-07 | 0.000259 | 0.00259 | 0.0012444 | 6.431e-05 | 4.37 | 0.186 |
 |(scale=1.0) m0=1320, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.026542 | 0.00115616 | 4.23914 | 1.5851e-07 | 0.000239 | 0.00243 | 0.0010882 | 5.766e-05 | 2.13 | 0.134 |
 |(scale=1.0) m0=1320, m1/2=200, tanbeta=10, A0=0, sign(mu)=+ve| 0.0197666 | 0.0010534 | 2.65181 | 1.56601e-07 | 0.000218 | 0.00226 | 0.0009453 | 5.1e-05 | 1.09 | 0.0973 |
 |(scale=1.0) m0=1320, m1/2=220, tanbeta=10, A0=0, sign(mu)=+ve| 0.0148 | 0.00095152 | 1.72835 | 1.5485e-07 | 0.000197 | 0.00207 | 0.0008098 | 4.476e-05 | 0.585 | 0.071 |
 |(scale=1.0) m0=1320, m1/2=240, tanbeta=10, A0=0, sign(mu)=+ve| 0.0111296 | 0.00085653 | 1.16699 | 1.52648e-07 | 0.000176 | 0.00188 | 0.0006866 | 3.884e-05 | 0.323 | 0.0521 |
 |(scale=1.0) m0=1320, m1/2=260, tanbeta=10, A0=0, sign(mu)=+ve| 0.0084037 | 0.00076502 | 0.80879 | 1.50192e-07 | 0.000155 | 0.00169 | 0.000578 | 3.335e-05 | 0.184 | 0.0383 |
 |(scale=1.0) m0=1320, m1/2=280, tanbeta=10, A0=0, sign(mu)=+ve| 0.0063596 | 0.000679065 | 0.573602 | 1.47789e-07 | 0.000136 | 0.0015 | 0.0004618 | 2.849e-05 | 0.107 | 0.0283 |
 |(scale=1.0) m0=1320, m1/2=300, tanbeta=10, A0=0, sign(mu)=+ve| 0.0048273 | 0.000600062 | 0.414043 | 1.45227e-07 | 0.000117 | 0.00133 | 0.0003972 | 2.407e-05 | 0.0636 | 0.0209 |
 |(scale=1.0) m0=1320, m1/2=320, tanbeta=10, A0=0, sign(mu)=+ve| 0.0036652 | 0.000527979 | 0.303129 | 1.42591e-07 | 0.000101 | 0.00116 | 0.000332 | 2.019e-05 | 0.0385 | 0.0155 |
 |(scale=1.0) m0=1320, m1/2=340, tanbeta=10, A0=0, sign(mu)=+ve| 0.00278828 | 0.000462703 | 0.225268 | 1.39675e-07 | 8.57e-05 | 0.001 | 0.0002753 | 1.685e-05 | 0.0237 | 0.0115 |
 |(scale=1.0) m0=1320, m1/2=360, tanbeta=10, A0=0, sign(mu)=+ve| 0.00212872 | 0.000403127 | 0.169511 | 1.36686e-07 | 7.23e-05 | 0.000863 | 0.0002269 | 1.405e-05 | 0.0147 | 0.00857 |
 |(scale=1.0) m0=1320, m1/2=380, tanbeta=10, A0=0, sign(mu)=+ve| 0.00162874 | 0.000350182 | 0.128889 | 1.33673e-07 | 6.05e-05 | 0.000737 | 0.00018296 | 1.159e-05 | 0.0093 | 0.00637 |
 |(scale=1.0) m0=1320, m1/2=400, tanbeta=10, A0=0, sign(mu)=+ve| 0.00124444 | 0.000303504 | 0.0989715 | 1.30629e-07 | 5.03e-05 | 0.000625 | 0.00014931 | 9.48e-06 | 0.00592 | 0.00474 |
 |(scale=1.0) m0=1320, m1/2=420, tanbeta=10, A0=0, sign(mu)=+ve| 0.00095286 | 0.00026179 | 0.0765794 | 1.27474e-07 | 4.16e-05 | 0.000527 | 0.00012093 | 7.745e-06 | 0.0038 | 0.00353 |
 |(scale=1.0) m0=1320, m1/2=440, tanbeta=10, A0=0, sign(mu)=+ve| 0.00073149 | 0.000225359 | 0.0597127 | 1.24342e-07 | 3.41e-05 | 0.000441 | 9.739e-05 | 6.288e-06 | 0.00247 | 0.00263 |
 |(scale=1.0) m0=1320, m1/2=460, tanbeta=10, A0=0, sign(mu)=+ve| 0.000562312 | 0.000193425 | 0.0468564 | 1.20903e-07 | 2.79e-05 | 0.000367 | 7.856e-05 | 5.086e-06 | 0.00161 | 0.00195 |
 |(scale=1.0) m0=1320, m1/2=480, tanbeta=10, A0=0, sign(mu)=+ve| 0.000433021 | 0.000165621 | 0.0370782 | 1.17735e-07 | 2.26e-05 | 0.000304 | 6.319e-05 | 4.097e-06 | 0.00106 | 0.00145 |
 |(scale=1.0) m0=1320, m1/2=500, tanbeta=10, A0=0, sign(mu)=+ve| 0.000332596 | 0.000141466 | 0.0294232 | 1.14386e-07 | 1.82e-05 | 0.00025 | 5.067e-05 | 3.287e-06 | 0.0007 | 0.00108 |
 |(scale=1.0) m0=1320, m1/2=520, tanbeta=10, A0=0, sign(mu)=+ve| 0.000256666 | 0.000120761 | 0.0235345 | 1.11026e-07 | 1.46e-05 | 0.000205 | 4.066e-05 | 2.624e-06 | 0.000464 | 0.000803 |
 |(scale=1.0) m0=1320, m1/2=540, tanbeta=10, A0=0, sign(mu)=+ve| 0.000198147 | 0.000102733 | 0.0188587 | 1.07763e-07 | 1.17e-05 | 0.000167 | 3.256e-05 | 2.086e-06 | 0.000309 | 0.000596 |
 |(scale=1.0) m0=1320, m1/2=560, tanbeta=10, A0=0, sign(mu)=+ve| 0.000153057 | 8.72485e-05 | 0.0152142 | 1.04296e-07 | 9.3e-06 | 0.000136 | 2.598e-05 | 1.66e-06 | 0.000206 | 0.000442 |
 |(scale=1.0) m0=1320, m1/2=580, tanbeta=10, A0=0, sign(mu)=+ve| 0.000118586 | 7.39729e-05 | 0.0123011 | 1.00936e-07 | 7.36e-06 | 0.00011 | 2.0765e-05 | 1.314e-06 | 0.000139 | 0.000328 |
 |(scale=1.0) m0=1320, m1/2=600, tanbeta=10, A0=0, sign(mu)=+ve| 9.1829e-05 | 6.27956e-05 | 0.00999565 | 9.7719e-08 | 5.79e-06 | 8.81e-05 | 1.6565e-05 | 1.034e-06 | 9.34e-05 | 0.000243 |
 |(scale=1.0) m0=1320, m1/2=620, tanbeta=10, A0=0, sign(mu)=+ve| 7.1239e-05 | 5.30313e-05 | 0.00816276 | 9.4428e-08 | 4.54e-06 | 7.05e-05 | 1.3202e-05 | 8.14e-07 | 6.3e-05 | 0.00018 |
 |(scale=1.0) m0=1320, m1/2=640, tanbeta=10, A0=0, sign(mu)=+ve| 5.52418e-05 | 4.48272e-05 | 0.00668252 | 9.10501e-08 | 3.55e-06 | 5.61e-05 | 1.0472e-05 | 6.387e-07 | 4.26e-05 | 0.000133 |
 |(scale=1.0) m0=1320, m1/2=660, tanbeta=10, A0=0, sign(mu)=+ve| 4.28759e-05 | 3.77414e-05 | 0.00547612 | 8.78145e-08 | 2.76e-06 | 4.45e-05 | 8.339e-06 | 4.991e-07 | 2.89e-05 | 9.77e-05 |
 |(scale=1.0) m0=1320, m1/2=680, tanbeta=10, A0=0, sign(mu)=+ve| 3.34274e-05 | 3.1804e-05 | 0.00451621 | 8.46036e-08 | 2.13e-06 | 3.51e-05 | 6.617e-06 | 3.885e-07 | 1.97e-05 | 7.18e-05 |
 |(scale=1.0) m0=1320, m1/2=700, tanbeta=10, A0=0, sign(mu)=+ve| 2.59805e-05 | 2.68063e-05 | 0.0037186 | 8.1415e-08 | 1.64e-06 | 2.76e-05 | 5.253e-06 | 3.021e-07 | 1.34e-05 | 5.27e-05 |
 |(scale=1.0) m0=1320, m1/2=720, tanbeta=10, A0=0, sign(mu)=+ve| 2.02432e-05 | 2.25448e-05 | 0.00307751 | 7.84487e-08 | 1.26e-06 | 2.16e-05 | 4.162e-06 | 2.343e-07 | 9.07e-06 | 3.85e-05 |
 |(scale=1.0) m0=1320, m1/2=740, tanbeta=10, A0=0, sign(mu)=+ve| 1.57674e-05 | 1.89417e-05 | 0.00255447 | 7.53453e-08 | 9.61e-07 | 1.68e-05 | 3.293e-06 | 1.816e-07 | 6.16e-06 | 2.81e-05 |
 |(scale=1.0) m0=1320, m1/2=760, tanbeta=10, A0=0, sign(mu)=+ve| 1.2307e-05 | 1.58939e-05 | 0.00212183 | 7.2333e-08 | 7.3e-07 | 1.31e-05 | 2.602e-06 | 1.395e-07 | 4.17e-06 | 2.04e-05 |
 |(scale=1.0) m0=1320, m1/2=780, tanbeta=10, A0=0, sign(mu)=+ve| 9.61173e-06 | 1.33278e-05 | 0.0017684 | 6.94835e-08 | 5.52e-07 | 1.01e-05 | 2.0584e-06 | 1.079e-07 | 2.82e-06 | 1.48e-05 |
 |(scale=1.0) m0=1320, m1/2=800, tanbeta=10, A0=0, sign(mu)=+ve| 7.49851e-06 | 1.11721e-05 | 0.00147496 | 6.66748e-08 | 4.15e-07 | 7.74e-06 | 1.6199e-06 | 8.25e-08 | 1.91e-06 | 1.07e-05 |
 |(scale=1.0) m0=1320, m1/2=820, tanbeta=10, A0=0, sign(mu)=+ve| 5.86508e-06 | 9.35929e-06 | 0.00123316 | 6.37778e-08 | 3.1e-07 | 5.92e-06 | 1.2856e-06 | 6.275e-08 | 1.28e-06 | 7.68e-06 |
 |(scale=1.0) m0=1320, m1/2=840, tanbeta=10, A0=0, sign(mu)=+ve| 4.58788e-06 | 7.83031e-06 | 0.00103299 | 6.11127e-08 | 2.31e-07 | 4.5e-06 | 1.0106e-06 | 4.763e-08 | 8.62e-07 | 5.5e-06 |
 |(scale=1.0) m0=1320, m1/2=860, tanbeta=10, A0=0, sign(mu)=+ve| 3.58079e-06 | 6.54481e-06 | 0.000867247 | 5.84985e-08 | 1.71e-07 | 3.41e-06 | 7.962e-07 | 3.603e-08 | 5.77e-07 | 3.92e-06 |
