 | Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg | 
 |(scale=1.0) m0=1000, m1/2=580, tanbeta=10, A0=0, sign(mu)=+ve| 0.000170739 | 0.000212046 | 0.0114173 | 1.93836e-06 | 5.09e-05 | 0.000614 | 5.976e-05 | 6.49e-06 | 0.000155 | 0.000803 |
 |(scale=1.0) m0=1000, m1/2=600, tanbeta=10, A0=0, sign(mu)=+ve| 0.000131139 | 0.000175373 | 0.00928221 | 1.85419e-06 | 3.9e-05 | 0.000484 | 4.659e-05 | 4.98e-06 | 0.000105 | 0.000588 |
 |(scale=1.0) m0=1000, m1/2=620, tanbeta=10, A0=0, sign(mu)=+ve| 0.000101045 | 0.000145106 | 0.00757587 | 1.77314e-06 | 2.98e-05 | 0.00038 | 3.634e-05 | 3.81e-06 | 7.13e-05 | 0.000431 |
 |(scale=1.0) m0=1000, m1/2=640, tanbeta=10, A0=0, sign(mu)=+ve| 7.77018e-05 | 0.00012002 | 0.00620106 | 1.6932e-06 | 2.27e-05 | 0.000298 | 2.826e-05 | 2.912e-06 | 4.84e-05 | 0.000316 |
 |(scale=1.0) m0=1000, m1/2=660, tanbeta=10, A0=0, sign(mu)=+ve| 5.99614e-05 | 9.91675e-05 | 0.00509708 | 1.61635e-06 | 1.73e-05 | 0.000233 | 2.202e-05 | 2.217e-06 | 3.3e-05 | 0.000231 |
 |(scale=1.0) m0=1000, m1/2=680, tanbeta=10, A0=0, sign(mu)=+ve| 4.63913e-05 | 8.20755e-05 | 0.0042028 | 1.5386e-06 | 1.31e-05 | 0.000181 | 1.718e-05 | 1.693e-06 | 2.25e-05 | 0.000169 |
 |(scale=1.0) m0=1000, m1/2=700, tanbeta=10, A0=0, sign(mu)=+ve| 3.59016e-05 | 6.78034e-05 | 0.00346788 | 1.4649e-06 | 9.9e-06 | 0.000141 | 1.3422e-05 | 1.286e-06 | 1.54e-05 | 0.000123 |
 |(scale=1.0) m0=1000, m1/2=720, tanbeta=10, A0=0, sign(mu)=+ve| 2.77988e-05 | 5.60207e-05 | 0.00286815 | 1.39346e-06 | 7.46e-06 | 0.000109 | 1.0423e-05 | 9.76e-07 | 1.05e-05 | 8.98e-05 |
 |(scale=1.0) m0=1000, m1/2=740, tanbeta=10, A0=0, sign(mu)=+ve| 2.15027e-05 | 4.62665e-05 | 0.00238486 | 1.326e-06 | 5.61e-06 | 8.39e-05 | 8.122e-06 | 7.4e-07 | 7.17e-06 | 6.53e-05 |
 |(scale=1.0) m0=1000, m1/2=760, tanbeta=10, A0=0, sign(mu)=+ve| 1.66747e-05 | 3.82096e-05 | 0.00198466 | 1.25909e-06 | 4.21e-06 | 6.45e-05 | 6.317e-06 | 5.6e-07 | 4.89e-06 | 4.73e-05 |
