 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=2.0) m0=1000, m1/2=560, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000208699 | 0.000212074 | 0.0125038 | 6.0142e-06 | 6.54e-05 | 0.000667 | 9.773e-05 | 1.944e-05 | 0.000202 | 0.000956 |
 |(scale=2.0) m0=1000, m1/2=580, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000160802 | 0.000176344 | 0.0101391 | 5.8712e-06 | 5.04e-05 | 0.000529 | 7.62e-05 | 1.511e-05 | 0.000137 | 0.000703 |
 |(scale=2.0) m0=1000, m1/2=600, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000124343 | 0.00014663 | 0.00825162 | 5.7392e-06 | 3.88e-05 | 0.000418 | 5.937e-05 | 1.17e-05 | 9.31e-05 | 0.000517 |
 |(scale=2.0) m0=1000, m1/2=60, tanbeta=40, A0=-500, sign(mu)=+ve| 0.43126 | 0.0090538 | 7.23912 | 8.29439e-06 | 0.0073 | 0.0343 | 0.01946 | 0.003336 | 632 | 4.51 |
 |(scale=2.0) m0=1000, m1/2=620, tanbeta=40, A0=-500, sign(mu)=+ve| 9.60849e-05 | 0.000121903 | 0.00673812 | 5.598e-06 | 2.97e-05 | 0.000329 | 4.633e-05 | 9.05e-06 | 6.35e-05 | 0.00038 |
 |(scale=2.0) m0=1000, m1/2=640, tanbeta=40, A0=-500, sign(mu)=+ve| 7.44694e-05 | 0.000101345 | 0.00552847 | 5.4579e-06 | 2.27e-05 | 0.000258 | 3.609e-05 | 6.98e-06 | 4.34e-05 | 0.000279 |
 |(scale=2.0) m0=1000, m1/2=660, tanbeta=40, A0=-500, sign(mu)=+ve| 5.76238e-05 | 8.41431e-05 | 0.00454366 | 5.30795e-06 | 1.74e-05 | 0.000202 | 2.819e-05 | 5.39e-06 | 2.97e-05 | 0.000205 |
 |(scale=2.0) m0=1000, m1/2=680, tanbeta=40, A0=-500, sign(mu)=+ve| 4.46746e-05 | 6.99035e-05 | 0.00374853 | 5.17078e-06 | 1.32e-05 | 0.000158 | 2.197e-05 | 4.15e-06 | 2.03e-05 | 0.00015 |
 |(scale=2.0) m0=1000, m1/2=700, tanbeta=40, A0=-500, sign(mu)=+ve| 3.46736e-05 | 5.80687e-05 | 0.00309731 | 5.03481e-06 | 1.01e-05 | 0.000123 | 1.719e-05 | 3.203e-06 | 1.39e-05 | 0.00011 |
 |(scale=2.0) m0=1000, m1/2=720, tanbeta=40, A0=-500, sign(mu)=+ve| 2.70117e-05 | 4.8231e-05 | 0.00256635 | 4.90026e-06 | 7.62e-06 | 9.5e-05 | 1.342e-05 | 2.466e-06 | 9.54e-06 | 8.01e-05 |
 |(scale=2.0) m0=1000, m1/2=740, tanbeta=40, A0=-500, sign(mu)=+ve| 2.10238e-05 | 4.0014e-05 | 0.00213545 | 4.77013e-06 | 5.76e-06 | 7.34e-05 | 1.0446e-05 | 1.897e-06 | 6.53e-06 | 5.84e-05 |
 |(scale=2.0) m0=1000, m1/2=760, tanbeta=40, A0=-500, sign(mu)=+ve| 1.6356e-05 | 3.33132e-05 | 0.00177783 | 4.63862e-06 | 4.35e-06 | 5.66e-05 | 8.157e-06 | 1.456e-06 | 4.47e-06 | 4.25e-05 |
 |(scale=2.0) m0=1000, m1/2=80, tanbeta=40, A0=-500, sign(mu)=+ve| 0.28716 | 0.0085138 | 123.608 | 8.24365e-06 | 0.0069 | 0.0335 | 0.01832 | 0.003077 | 162 | 2.87 |
 |(scale=2.0) m0=1020, m1/2=100, tanbeta=40, A0=-500, sign(mu)=+ve| 0.18466 | 0.0069603 | 40.7889 | 6.85103e-06 | 0.00536 | 0.0274 | 0.01443 | 0.002365 | 52.4 | 1.71 |
 |(scale=2.0) m0=1020, m1/2=120, tanbeta=40, A0=-500, sign(mu)=+ve| 0.129533 | 0.0063851 | 18.3415 | 6.82121e-06 | 0.00492 | 0.026 | 0.01292 | 0.002089 | 19.8 | 1.15 |
 |(scale=2.0) m0=1020, m1/2=140, tanbeta=40, A0=-500, sign(mu)=+ve| 0.091769 | 0.0057939 | 9.55551 | 6.78813e-06 | 0.00445 | 0.0242 | 0.01123 | 0.001814 | 8.38 | 0.791 |
 |(scale=2.0) m0=1020, m1/2=160, tanbeta=40, A0=-500, sign(mu)=+ve| 0.065723 | 0.005186 | 5.45141 | 6.7588e-06 | 0.00396 | 0.0222 | 0.008887 | 0.00156 | 3.84 | 0.548 |
 |(scale=2.0) m0=1020, m1/2=180, tanbeta=40, A0=-500, sign(mu)=+ve| 0.047463 | 0.0046091 | 3.30426 | 6.7182e-06 | 0.00347 | 0.0201 | 0.007886 | 0.001319 | 1.88 | 0.384 |
 |(scale=2.0) m0=1020, m1/2=200, tanbeta=40, A0=-500, sign(mu)=+ve| 0.034504 | 0.00405457 | 2.10482 | 6.6704e-06 | 0.003 | 0.0179 | 0.006636 | 0.001102 | 0.965 | 0.271 |
 |(scale=2.0) m0=1020, m1/2=20, tanbeta=40, A0=-500, sign(mu)=+ve| 0.7593 | 0.0085175 | 318.934 | 6.83524e-06 | 0.00636 | 0.0297 | 0.01541 | 0.002849 | 67200 | 12.9 |
 |(scale=2.0) m0=1020, m1/2=220, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0252317 | 0.00353992 | 1.38826 | 6.6222e-06 | 0.00256 | 0.0158 | 0.005356 | 0.000911 | 0.514 | 0.193 |
 |(scale=2.0) m0=1020, m1/2=240, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0185026 | 0.0030627 | 0.943561 | 6.5587e-06 | 0.00216 | 0.0137 | 0.004315 | 0.000748 | 0.284 | 0.138 |
 |(scale=2.0) m0=1020, m1/2=260, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0136562 | 0.00264004 | 0.657181 | 6.5029e-06 | 0.00181 | 0.0118 | 0.003461 | 0.000609 | 0.162 | 0.0987 |
 |(scale=2.0) m0=1020, m1/2=280, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0101021 | 0.00226187 | 0.466228 | 6.4337e-06 | 0.0015 | 0.0101 | 0.002763 | 0.000492 | 0.0941 | 0.0712 |
 |(scale=2.0) m0=1020, m1/2=300, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0075046 | 0.00192634 | 0.337488 | 6.351e-06 | 0.00123 | 0.00857 | 0.002187 | 0.000396 | 0.056 | 0.0515 |
 |(scale=2.0) m0=1020, m1/2=320, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0055871 | 0.00163307 | 0.247484 | 6.2759e-06 | 0.001 | 0.00721 | 0.001722 | 0.0003168 | 0.034 | 0.0374 |
 |(scale=2.0) m0=1020, m1/2=340, tanbeta=40, A0=-500, sign(mu)=+ve| 0.004176 | 0.00138297 | 0.184385 | 6.1986e-06 | 0.000812 | 0.00602 | 0.001357 | 0.0002522 | 0.021 | 0.0272 |
 |(scale=2.0) m0=1020, m1/2=360, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00312936 | 0.0011693 | 0.138857 | 6.1088e-06 | 0.000653 | 0.005 | 0.001071 | 0.0002009 | 0.0131 | 0.0198 |
 |(scale=2.0) m0=1020, m1/2=380, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00235351 | 0.000986046 | 0.105611 | 6.0186e-06 | 0.000523 | 0.00413 | 0.0008407 | 0.0001586 | 0.00828 | 0.0145 |
 |(scale=2.0) m0=1020, m1/2=400, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00177318 | 0.000829845 | 0.0810821 | 5.9241e-06 | 0.000416 | 0.00339 | 0.0006592 | 0.0001256 | 0.00532 | 0.0106 |
 |(scale=2.0) m0=1020, m1/2=40, tanbeta=40, A0=-500, sign(mu)=+ve| 0.63017 | 0.0083328 | 27.8046 | 6.87942e-06 | 0.00627 | 0.0294 | 0.01657 | 0.00293 | 3980 | 6.84 |
 |(scale=2.0) m0=1020, m1/2=420, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00133895 | 0.000698497 | 0.0628071 | 5.8183e-06 | 0.00033 | 0.00277 | 0.0005156 | 9.91e-05 | 0.00344 | 0.00777 |
